angleX,angleY,angleZ
-84.56,-51.6,-972.78
-81.16,-50.76,-972.6
-78.15,-50.26,-972.48
-75.66,-49.78,-972.55
-72.78,-49.34,-972.55
-69.93,-48.95,-972.47
-66.91,-48.57,-972.42
-63.84,-48.06,-972.33
-60.61,-47.49,-972.24
-57.25,-46.62,-972.22
-53.95,-45.25,-972.16
-50.74,-43.77,-972.14
-47.84,-42.23,-972.11
-45.44,-40.84,-972.15
-43.24,-39.68,-972.26
-41.23,-38.85,-972.43
-39.23,-38.39,-972.62
-37.11,-38.2,-972.86
-35.36,-38.04,-973.28
-32.86,-37.85,-973.69
-30.18,-37.29,-974.05
-27.27,-36.34,-974.29
-24.18,-35.07,-974.47
-21.86,-33.66,-974.71
-19.75,-32.28,-974.95
-18.07,-31.07,-975.15
-16.46,-30.18,-975.22
-14.78,-29.69,-975.18
-13.24,-29.58,-975.07
-11.7,-29.77,-974.96
-10.18,-30.28,-974.86
-8.48,-30.67,-974.79
-6.68,-31.03,-974.72
-4.82,-31.31,-974.68
-2.94,-31.49,-974.67
-1.07,-31.55,-974.7
0.74,-31.46,-974.73
2.45,-31.23,-974.75
4.08,-30.9,-974.72
5.59,-30.53,-974.62
6.98,-30.41,-974.43
8.15,-30.33,-974.28
9.18,-30.51,-974.17
10.13,-30.99,-974.09
11.09,-31.7,-974.03
12.08,-32.59,-973.93
13.12,-33.57,-973.78
14.18,-34.56,-973.57
15.21,-35.51,-973.28
16.27,-36.41,-972.93
17.24,-37.7,-972.46
18.17,-38.93,-972.02
19.08,-40.27,-971.59
20.14,-41.57,-971.16
21.32,-42.59,-970.75
22.58,-43.1,-970.33
23.82,-43.12,-969.83
24.86,-42.76,-969.22
25.62,-42.34,-968.56
26.01,-42.17,-967.89
26.1,-42.8,-967.12
26.07,-43.79,-966.45
25.97,-45.32,-965.78
25.86,-47.2,-965.14
25.88,-49.21,-964.51
26.08,-51.19,-963.87
26.5,-52.97,-963.23
27.06,-54.44,-962.58
27.78,-55.59,-961.96
28.48,-56.52,-961.37
29.0,-57.99,-960.66
29.56,-58.74,-960.13
30.1,-59.56,-959.61
30.52,-60.5,-959.1
30.95,-61.56,-958.62
31.33,-62.76,-958.13
31.69,-64.08,-957.63
32.02,-65.48,-957.07
32.34,-66.9,-956.43
32.62,-68.35,-955.71
32.6,-70.75,-954.6
32.86,-72.2,-953.62
33.19,-73.64,-952.53
33.62,-75.0,-951.36
34.07,-76.11,-950.11
34.78,-77.4,-948.86
35.43,-78.29,-947.55
36.06,-78.55,-946.3
37.07,-79.08,-945.06
38.24,-79.56,-943.78
39.26,-80.1,-942.33
40.56,-80.27,-941.07
41.72,-80.5,-939.83
42.84,-80.91,-938.59
43.82,-81.33,-937.37
44.66,-81.83,-936.18
45.38,-82.54,-935.03
45.98,-83.43,-933.93
46.59,-84.43,-932.88
47.27,-85.21,-931.92
