angleX,angleY,angleZ
103.24,-86.02,-1089.57
101.76,-85.26,-1089.52
100.39,-84.72,-1089.48
98.9,-84.37,-1089.46
97.48,-84.06,-1089.49
96.09,-84.0,-1089.43
94.81,-83.93,-1089.36
93.47,-83.85,-1089.25
92.15,-83.74,-1089.11
90.83,-83.63,-1088.95
89.26,-84.21,-1088.65
87.84,-84.29,-1088.34
86.7,-84.62,-1087.95
85.42,-85.21,-1087.52
84.14,-86.03,-1087.1
82.89,-87.01,-1086.68
81.78,-88.07,-1086.26
80.89,-89.07,-1085.82
80.1,-90.01,-1085.4
79.4,-90.92,-1084.97
78.75,-92.3,-1084.52
78.17,-93.14,-1084.11
77.79,-93.95,-1083.67
77.43,-94.72,-1083.2
77.13,-95.37,-1082.75
76.87,-95.98,-1082.34
76.58,-96.47,-1081.96
76.38,-96.88,-1081.59
76.14,-97.22,-1081.2
75.93,-97.56,-1080.78
51.58,-39.2,-1117.17
52.19,-38.52,-1117.36
52.76,-37.83,-1117.49
53.26,-37.17,-1117.59
53.49,-36.19,-1117.64
53.85,-35.85,-1117.69
54.07,-35.5,-1117.7
54.39,-35.34,-1117.68
54.61,-35.3,-1117.66
54.88,-35.42,-1117.64
55.07,-36.0,-1117.63
55.3,-36.29,-1117.58
55.66,-36.62,-1117.49
56.04,-36.95,-1117.36
56.42,-37.28,-1117.18
56.81,-37.62,-1116.96
57.15,-38.01,-1116.67
57.46,-38.41,-1116.31
57.73,-38.84,-1115.92
57.94,-39.28,-1115.52
58.02,-40.15,-1114.95
58.13,-40.56,-1114.49
58.23,-40.96,-1114.01
58.28,-41.36,-1113.52
58.3,-41.78,-1113.05
58.26,-42.28,-1112.59
58.25,-42.85,-1112.12
58.26,-43.5,-1111.65
58.29,-44.19,-1111.19
58.34,-44.9,-1110.75
58.4,-45.88,-1110.21
58.53,-46.53,-1109.69
58.67,-47.16,-1109.11
58.73,-47.82,-1108.48
58.71,-48.54,-1107.79
58.62,-49.32,-1107.09
58.48,-50.18,-1106.37
58.35,-51.08,-1105.69
58.18,-52.01,-1105.06
58.09,-52.93,-1104.48
57.92,-54.54,-1103.79
57.98,-55.41,-1103.27
58.03,-56.26,-1102.78
58.07,-57.12,-1102.29
58.13,-57.99,-1101.75
58.19,-58.9,-1101.16
58.26,-59.85,-1100.51
58.25,-60.85,-1099.82
58.13,-61.9,-1099.12
57.98,-62.97,-1098.41
57.64,-64.82,-1097.52
57.65,-65.72,-1096.85
57.79,-66.52,-1096.21
57.9,-67.08,-1095.62
58.21,-67.72,-1095.02
58.56,-68.26,-1094.4
58.92,-68.74,-1093.78
59.21,-69.22,-1093.16
59.42,-69.71,-1092.54
59.88,-70.12,-1091.92
59.99,-70.94,-1091.17
60.1,-71.49,-1090.49
60.15,-72.1,-1089.81
60.08,-72.83,-1089.17
59.98,-73.69,-1088.58
59.88,-74.67,-1088.04
59.85,-75.72,-1087.54
59.94,-76.78,-1087.05
60.22,-77.7,-1086.55
60.66,-78.45,-1086.01
