angleX,angleY,angleZ
112.1,1.06,-891.75
110.94,0.91,-892.08
110.18,0.5,-892.47
109.46,0.27,-892.88
108.98,0.21,-893.24
108.61,0.27,-893.54
108.33,0.48,-893.85
108.08,0.74,-894.12
107.87,0.96,-894.37
107.71,1.14,-894.64
107.51,1.17,-895.04
107.28,1.15,-895.38
107.11,1.16,-895.72
107.04,1.26,-896.04
107.05,1.48,-896.35
107.05,1.8,-896.66
107.03,2.16,-896.99
106.72,2.51,-897.36
106.4,2.79,-897.79
105.93,3.05,-898.23
105.55,3.34,-898.69
105.08,3.62,-899.08
104.43,3.94,-899.49
103.57,4.28,-899.91
102.71,4.55,-900.25
101.81,4.68,-900.49
100.9,4.58,-900.63
99.92,4.2,-900.72
98.83,3.58,-900.79
97.72,2.74,-900.84
96.59,1.41,-900.77
95.66,0.38,-900.6
94.79,-0.64,-900.33
93.89,-1.65,-899.99
92.99,-2.71,-899.6
92.04,-3.85,-899.2
91.05,-5.09,-898.81
90.02,-6.45,-898.45
88.97,-7.88,-898.11
87.95,-9.38,-897.76
86.87,-11.55,-897.22
85.91,-13.17,-896.74
84.92,-14.86,-896.21
83.88,-16.7,-895.64
82.82,-18.78,-895.05
81.73,-21.1,-894.47
80.59,-23.55,-893.96
79.57,-25.93,-893.53
78.73,-28.08,-893.15
78.08,-29.95,-892.74
77.41,-32.23,-892.0
76.92,-33.69,-891.31
76.37,-35.26,-890.55
75.67,-37.04,-889.78
74.94,-39.15,-889.02
74.19,-41.31,-888.27
73.71,-43.32,-887.54
72.68,-44.63,-887.05
72.73,-46.19,-886.52
72.64,-47.34,-885.93
72.67,-48.61,-885.32
72.63,-49.76,-884.78
72.27,-51.06,-884.31
71.78,-52.57,-883.93
71.25,-54.15,-883.58
70.93,-55.63,-883.21
70.93,-56.91,-882.78
71.11,-57.98,-882.23
71.41,-58.86,-881.62
71.62,-59.71,-881.0
71.6,-61.02,-880.36
71.48,-62.12,-879.93
71.29,-63.32,-879.61
71.11,-64.53,-879.4
71.03,-65.7,-879.27
71.03,-66.76,-879.16
71.08,-67.7,-879.01
71.14,-68.54,-878.8
71.12,-69.39,-878.5
71.23,-70.34,-878.17
70.99,-71.93,-877.68
70.7,-73.29,-877.22
70.45,-74.76,-876.81
70.3,-76.18,-876.42
70.48,-77.44,-875.99
71.0,-78.18,-875.52
71.73,-78.86,-874.98
72.54,-79.18,-874.39
73.28,-79.39,-873.78
73.77,-79.59,-873.17
73.94,-80.27,-872.55
73.93,-80.95,-872.09
73.82,-81.89,-871.75
73.75,-83.09,-871.52
73.78,-84.93,-871.36
74.04,-87.6,-871.2
74.65,-90.35,-871.01
75.52,-92.27,-870.76
76.51,-93.16,-870.49
76.74,-93.63,-870.26
