angleX,angleY,angleZ
94.94,-157.38,-830.67
94.22,-154.77,-830.63
93.85,-152.38,-830.65
93.41,-149.96,-830.55
93.29,-147.6,-830.42
93.38,-145.06,-830.25
93.46,-142.43,-830.06
93.61,-139.75,-829.9
93.72,-136.96,-829.76
93.78,-134.13,-829.62
93.85,-131.18,-829.5
93.69,-128.34,-829.47
93.5,-125.53,-829.45
93.3,-122.81,-829.39
93.11,-120.22,-829.3
92.84,-117.82,-829.23
92.5,-115.59,-829.19
92.1,-113.58,-829.16
91.72,-111.73,-829.12
91.4,-110.05,-829.06
91.15,-108.52,-828.99
90.93,-106.97,-828.95
90.79,-105.39,-828.93
90.71,-103.69,-828.93
90.65,-101.93,-828.98
90.56,-100.02,-829.05
90.47,-98.06,-829.15
89.85,-96.37,-829.25
89.55,-94.57,-829.41
89.03,-92.8,-829.56
88.41,-91.32,-829.72
87.93,-89.87,-829.81
87.5,-88.55,-829.87
86.93,-87.31,-829.9
86.43,-86.16,-829.86
85.93,-85.11,-829.78
85.41,-84.21,-829.66
84.82,-83.43,-829.47
84.39,-82.95,-829.25
83.86,-82.34,-829.27
82.91,-81.68,-829.44
82.68,-80.83,-829.38
82.6,-79.96,-829.16
82.24,-79.11,-829.02
81.61,-78.37,-829.03
80.87,-77.8,-829.11
80.33,-77.38,-829.11
79.99,-77.08,-829.0
79.68,-76.9,-828.87
79.31,-76.85,-828.77
78.87,-77.17,-828.68
78.61,-77.29,-828.55
78.48,-77.41,-828.37
78.43,-77.47,-828.17
78.4,-77.47,-827.96
78.38,-77.42,-827.73
78.39,-77.37,-827.46
78.37,-77.34,-827.18
78.34,-77.37,-826.89
78.32,-77.46,-826.63
78.25,-77.85,-826.35
78.3,-77.95,-826.11
78.39,-77.99,-825.85
78.52,-77.94,-825.57
78.65,-77.79,-825.26
78.74,-77.59,-824.93
78.78,-77.39,-824.59
78.73,-77.27,-824.23
78.61,-77.26,-823.88
78.44,-77.36,-823.55
78.25,-77.82,-823.2
78.19,-78.03,-822.88
78.24,-78.22,-822.53
78.34,-78.42,-822.14
78.5,-78.35,-821.79
78.6,-78.63,-821.38
78.7,-78.96,-820.97
78.8,-79.37,-820.55
78.94,-79.75,-820.12
79.13,-79.99,-819.7
79.37,-80.35,-819.25
79.61,-80.32,-818.88
79.81,-80.22,-818.53
79.89,-80.13,-818.18
79.89,-80.08,-817.79
79.89,-80.2,-817.31
79.81,-80.41,-816.77
79.7,-80.7,-816.16
79.59,-81.09,-815.48
79.5,-81.52,-814.72
79.37,-82.31,-813.79
79.26,-82.75,-812.98
79.07,-83.19,-812.17
78.84,-83.65,-811.36
78.59,-84.16,-810.54
78.31,-84.74,-809.72
78.02,-85.43,-808.9
77.71,-86.26,-808.1
77.48,-87.21,-807.31
77.3,-88.18,-806.53
