angleX,angleY,angleZ
69.85,-143.57,-929.1
70.22,-141.04,-929.29
70.17,-138.43,-929.46
70.6,-135.98,-929.48
70.84,-133.57,-929.59
71.14,-131.19,-929.65
71.53,-128.91,-929.66
72.07,-126.61,-929.7
72.71,-124.21,-929.7
73.46,-121.74,-929.75
74.01,-119.07,-929.82
74.5,-116.46,-929.85
74.89,-113.91,-929.88
75.09,-111.46,-929.89
75.18,-109.19,-929.91
75.2,-107.16,-929.91
75.24,-105.37,-929.87
75.04,-103.79,-929.91
75.24,-102.28,-930.0
75.31,-100.68,-930.09
75.75,-98.82,-930.2
76.28,-96.74,-930.24
76.6,-94.53,-930.33
76.59,-92.27,-930.46
76.56,-90.11,-930.53
76.43,-88.13,-930.47
76.34,-86.43,-930.26
76.13,-85.03,-929.97
75.86,-83.93,-929.63
75.53,-83.06,-929.26
75.19,-82.45,-928.83
74.97,-81.73,-928.47
74.73,-80.95,-928.15
74.48,-80.11,-927.86
74.16,-79.22,-927.6
73.79,-78.31,-927.37
73.36,-77.57,-927.13
72.71,-76.94,-926.96
72.16,-76.43,-926.78
71.51,-76.1,-926.62
70.92,-76.09,-926.44
70.32,-75.85,-926.36
69.68,-75.66,-926.26
69.58,-75.76,-925.95
69.18,-75.45,-925.93
68.66,-75.22,-925.94
68.47,-74.96,-925.77
68.33,-74.76,-925.43
68.07,-74.67,-925.08
67.51,-74.73,-924.78
66.87,-75.61,-924.31
66.53,-76.06,-923.83
66.29,-76.55,-923.28
66.01,-77.04,-922.78
65.72,-77.58,-922.36
65.49,-78.13,-921.95
65.44,-78.71,-921.52
65.52,-79.26,-921.09
65.72,-79.75,-920.7
65.97,-80.05,-920.38
66.12,-80.63,-920.0
66.45,-80.51,-919.67
66.79,-80.26,-919.3
67.06,-79.95,-918.9
67.14,-79.72,-918.51
67.08,-79.69,-918.14
66.98,-79.92,-917.79
66.87,-80.39,-917.46
66.88,-81.02,-917.15
67.0,-81.68,-916.86
67.22,-82.58,-916.52
67.6,-82.99,-916.19
68.01,-83.24,-915.84
68.44,-83.35,-915.45
68.77,-83.37,-915.04
69.02,-83.37,-914.61
69.2,-83.39,-914.17
69.33,-83.43,-913.71
69.42,-83.49,-913.25
69.52,-83.51,-912.77
69.51,-84.11,-912.18
69.56,-84.15,-911.75
69.54,-84.23,-911.37
69.48,-84.39,-911.04
69.35,-84.64,-910.75
69.19,-84.97,-910.49
69.05,-85.38,-910.22
68.94,-85.8,-909.94
68.9,-86.23,-909.61
68.92,-86.65,-909.23
68.9,-87.38,-908.73
68.92,-87.76,-908.27
68.89,-88.15,-907.77
68.9,-88.6,-907.22
68.89,-89.08,-906.65
68.9,-89.63,-906.05
68.96,-90.27,-905.43
69.04,-90.98,-904.77
69.14,-91.67,-904.07
69.29,-92.38,-903.33
