angleX,angleY,angleZ
57.56,-112.49,-1030.84
58.73,-110.96,-1030.97
60.15,-108.89,-1031.16
61.77,-106.59,-1031.28
63.48,-104.01,-1031.36
64.86,-101.39,-1031.45
65.91,-98.89,-1031.6
66.62,-96.58,-1031.75
67.04,-94.57,-1031.87
67.36,-92.83,-1031.92
67.74,-91.56,-1031.89
68.2,-90.48,-1031.91
68.3,-89.83,-1032.19
68.71,-88.91,-1032.48
69.51,-88.18,-1032.76
70.4,-86.91,-1033.08
71.38,-85.14,-1033.4
72.41,-82.98,-1033.69
73.13,-80.68,-1034.02
73.42,-78.36,-1034.45
73.63,-76.06,-1034.95
73.72,-74.04,-1035.34
73.8,-72.2,-1035.66
73.75,-70.53,-1035.98
73.64,-68.98,-1036.3
73.51,-67.57,-1036.61
73.45,-66.25,-1036.91
73.45,-65.01,-1037.21
73.47,-63.82,-1037.56
73.51,-62.69,-1037.96
73.59,-61.64,-1038.47
73.76,-60.56,-1038.93
74.0,-59.43,-1039.38
74.06,-58.26,-1039.81
74.3,-57.06,-1040.17
74.58,-55.81,-1040.45
74.45,-53.98,-1040.62
74.58,-52.87,-1040.77
74.77,-51.8,-1040.77
74.79,-50.93,-1040.7
74.85,-50.26,-1040.51
74.78,-49.67,-1040.33
74.7,-49.21,-1040.16
74.64,-48.81,-1039.97
74.63,-48.42,-1039.76
74.64,-48.04,-1039.54
74.61,-47.63,-1039.34
74.56,-47.18,-1039.12
74.48,-46.75,-1038.88
74.34,-46.42,-1038.6
74.05,-46.36,-1038.29
73.73,-46.43,-1038.02
73.51,-46.6,-1037.72
73.31,-46.78,-1037.38
73.29,-46.99,-1037.03
73.22,-47.24,-1036.68
73.2,-47.57,-1036.33
73.16,-47.96,-1035.98
73.17,-48.36,-1035.61
73.21,-48.74,-1035.24
73.22,-49.52,-1034.76
73.27,-49.8,-1034.38
73.27,-50.08,-1034.0
73.16,-50.34,-1033.62
73.04,-50.66,-1033.24
72.9,-51.04,-1032.85
72.76,-51.45,-1032.45
72.65,-51.86,-1032.06
72.57,-52.22,-1031.67
72.53,-52.5,-1031.28
72.44,-52.92,-1030.83
72.35,-53.1,-1030.43
72.19,-53.31,-1030.03
71.97,-53.62,-1029.61
71.66,-54.06,-1029.19
71.31,-54.64,-1028.78
70.96,-55.31,-1028.36
70.64,-56.02,-1027.92
70.39,-56.69,-1027.42
70.15,-57.28,-1026.88
69.83,-58.08,-1026.24
69.54,-58.53,-1025.66
69.23,-58.99,-1025.09
68.92,-59.46,-1024.53
68.65,-59.96,-1024.02
68.34,-60.52,-1023.57
68.1,-61.18,-1023.15
67.94,-61.88,-1022.73
67.81,-62.62,-1022.27
67.7,-63.34,-1021.78
67.43,-64.68,-1021.04
67.3,-65.31,-1020.39
67.1,-65.94,-1019.66
66.81,-66.6,-1018.87
66.47,-67.32,-1018.06
66.14,-68.09,-1017.24
65.86,-68.91,-1016.45
65.6,-69.75,-1015.7
65.43,-70.57,-1015.0
65.34,-71.35,-1014.36
