angleX,angleY,angleZ
-10.52,-114.53,-755.69
-9.27,-115.03,-755.71
-7.82,-115.8,-755.74
-6.04,-116.85,-755.71
-3.92,-117.99,-755.63
-1.62,-118.49,-755.5
0.84,-118.43,-755.33
3.2,-117.77,-755.15
5.35,-116.91,-754.99
7.3,-116.02,-754.86
9.02,-115.57,-754.72
10.62,-114.96,-754.63
12.15,-114.49,-754.57
13.65,-114.16,-754.51
15.18,-113.92,-754.42
16.8,-113.67,-754.31
18.52,-113.35,-754.16
20.28,-112.98,-754.01
22.04,-112.56,-753.87
23.72,-112.14,-753.76
25.42,-111.92,-753.67
27.11,-111.56,-753.62
28.88,-111.07,-753.58
30.75,-110.33,-753.54
32.67,-109.27,-753.49
34.57,-107.89,-753.46
36.37,-106.34,-753.46
38.05,-104.79,-753.51
39.65,-103.34,-753.63
41.25,-102.05,-753.81
43.0,-100.79,-754.06
44.83,-99.52,-754.29
46.82,-98.06,-754.5
48.96,-96.26,-754.68
51.15,-94.1,-754.81
53.39,-91.61,-754.92
55.54,-88.95,-755.03
57.52,-86.25,-755.14
59.42,-83.62,-755.27
61.2,-81.12,-755.39
63.12,-78.18,-755.47
65.14,-75.84,-755.56
67.06,-72.86,-755.63
69.0,-69.89,-755.69
70.88,-66.79,-755.78
72.59,-63.59,-755.87
74.21,-60.4,-756.0
75.7,-57.21,-756.15
77.04,-54.06,-756.32
78.31,-50.97,-756.51
79.57,-47.58,-756.72
80.75,-44.49,-756.9
81.88,-41.37,-757.06
82.98,-38.23,-757.19
84.06,-35.03,-757.32
85.05,-31.82,-757.42
86.0,-28.65,-757.5
86.91,-25.55,-757.58
87.72,-22.55,-757.68
88.43,-19.69,-757.82
89.14,-16.34,-758.06
89.73,-13.71,-758.25
90.36,-11.14,-758.44
91.06,-8.62,-758.61
91.83,-6.12,-758.75
92.7,-3.59,-758.84
93.54,-1.02,-758.9
94.35,1.56,-758.93
95.06,4.12,-758.95
95.62,6.64,-758.98
96.17,9.44,-759.06
96.52,11.8,-759.17
96.89,13.92,-759.33
97.01,15.88,-759.56
96.98,17.7,-759.87
97.1,19.41,-760.16
97.27,20.9,-760.34
97.4,22.1,-760.63
98.04,23.39,-760.97
98.02,24.79,-761.05
98.97,26.52,-760.88
99.04,28.23,-760.93
99.34,29.83,-760.99
99.08,31.39,-761.06
99.33,32.88,-761.08
99.03,34.25,-761.24
98.82,35.51,-761.45
98.59,36.58,-761.72
98.24,37.52,-762.03
98.11,38.27,-762.33
98.0,39.22,-762.71
97.91,39.67,-763.0
97.73,40.07,-763.24
97.27,40.42,-763.46
97.23,40.68,-763.63
96.85,40.91,-763.79
96.73,41.11,-763.92
96.56,41.34,-764.06
96.32,41.56,-764.24
96.04,41.74,-764.49
