angleX,angleY,angleZ
8.02,-108.91,-1036.78
9.42,-106.14,-1036.92
10.66,-103.56,-1037.06
11.83,-101.21,-1037.18
13.0,-99.07,-1037.29
14.22,-97.13,-1037.4
15.47,-95.31,-1037.51
16.72,-93.57,-1037.65
17.92,-91.84,-1037.83
19.06,-90.13,-1038.03
19.99,-88.53,-1038.36
20.8,-86.85,-1038.68
21.6,-85.29,-1039.04
22.31,-83.8,-1039.4
22.98,-82.46,-1039.81
23.63,-81.28,-1040.28
24.24,-80.24,-1040.79
24.93,-79.3,-1041.23
25.74,-78.43,-1041.56
26.64,-77.54,-1041.75
27.58,-76.74,-1041.83
28.52,-75.85,-1041.79
29.42,-74.99,-1041.67
30.32,-74.18,-1041.47
31.21,-73.43,-1041.23
32.05,-72.69,-1040.99
32.82,-71.94,-1040.73
33.55,-71.18,-1040.45
34.22,-70.42,-1040.13
34.8,-69.72,-1039.8
35.24,-69.3,-1039.44
35.6,-68.88,-1039.15
35.94,-68.66,-1038.87
35.93,-68.63,-1038.62
36.44,-68.78,-1038.35
36.82,-69.08,-1038.09
37.34,-69.44,-1037.84
37.94,-69.79,-1037.59
38.6,-70.05,-1037.33
39.33,-70.16,-1037.04
40.01,-70.34,-1036.68
40.64,-70.19,-1036.32
41.14,-70.04,-1035.95
41.51,-70.03,-1035.56
41.77,-70.23,-1035.18
41.93,-70.71,-1034.83
41.99,-71.48,-1034.53
42.06,-72.5,-1034.28
42.22,-73.61,-1034.03
42.59,-74.69,-1033.74
43.1,-76.0,-1033.31
43.8,-76.64,-1032.84
44.59,-77.04,-1032.28
45.37,-77.26,-1031.66
46.09,-77.37,-1030.99
46.72,-77.46,-1030.3
47.25,-77.56,-1029.6
47.8,-77.66,-1028.89
48.37,-77.76,-1028.19
48.93,-77.91,-1027.48
49.35,-78.44,-1026.71
49.65,-78.71,-1026.08
49.92,-79.1,-1025.47
50.13,-79.56,-1024.86
50.35,-80.09,-1024.24
50.63,-80.64,-1023.61
51.0,-81.17,-1022.97
51.47,-81.63,-1022.29
51.98,-82.02,-1021.57
52.5,-82.31,-1020.82
52.93,-82.88,-1019.95
53.33,-83.12,-1019.18
53.7,-83.44,-1018.41
54.02,-83.89,-1017.66
54.34,-84.47,-1016.91
54.69,-85.17,-1016.16
55.04,-85.91,-1015.42
55.41,-86.67,-1014.66
55.79,-87.4,-1013.87
56.2,-88.04,-1013.06
56.56,-89.04,-1012.09
56.93,-89.54,-1011.25
57.31,-90.02,-1010.43
57.71,-90.42,-1009.62
58.17,-90.78,-1008.82
58.69,-91.14,-1008.04
59.22,-91.5,-1007.3
59.73,-91.9,-1006.62
60.21,-92.38,-1006.0
60.7,-92.97,-1005.41
61.17,-94.07,-1004.73
61.72,-94.85,-1004.12
62.1,-95.71,-1003.57
62.75,-96.51,-1003.03
63.28,-97.29,-1002.49
63.99,-98.1,-1001.92
64.81,-98.64,-1001.31
65.68,-99.7,-1000.82
66.34,-100.19,-1000.33
67.2,-100.69,-999.86
