angleX,angleY,angleZ
-21.3,-76.3,-984.45
-18.93,-74.93,-984.27
-16.9,-73.64,-984.23
-14.46,-72.16,-984.09
-11.85,-70.59,-983.93
-9.36,-69.03,-983.7
-7.01,-67.58,-983.56
-5.1,-66.28,-983.56
-3.54,-65.16,-983.73
-2.24,-64.23,-984.03
-0.98,-63.52,-984.58
0.34,-62.77,-985.07
1.72,-62.12,-985.63
3.12,-61.47,-986.22
4.66,-60.77,-986.85
6.29,-59.85,-987.54
7.99,-58.65,-988.24
9.79,-57.14,-988.95
11.41,-55.43,-989.67
12.38,-53.63,-990.51
12.92,-51.8,-991.59
13.13,-50.23,-992.54
13.24,-48.92,-993.45
13.47,-47.92,-994.28
13.64,-47.19,-995.06
13.9,-46.71,-995.77
14.32,-46.33,-996.38
14.91,-46.05,-996.84
15.64,-45.8,-997.13
16.47,-45.61,-997.25
17.32,-45.69,-997.2
18.11,-45.76,-997.06
18.79,-46.02,-996.84
19.41,-46.5,-996.53
20.04,-47.19,-996.2
20.44,-48.11,-995.76
21.1,-49.15,-995.24
21.66,-50.12,-994.69
22.4,-50.88,-994.15
23.13,-51.38,-993.67
23.86,-51.95,-993.15
24.57,-52.24,-992.65
25.21,-52.63,-992.13
25.74,-53.22,-991.61
26.16,-54.03,-991.16
26.63,-54.94,-990.76
27.36,-55.82,-990.34
28.36,-56.48,-989.9
29.55,-56.85,-989.47
30.69,-56.97,-989.12
31.6,-57.26,-988.86
32.39,-57.39,-988.7
33.05,-57.7,-988.59
33.66,-58.26,-988.54
34.23,-59.05,-988.53
34.85,-60.0,-988.52
35.59,-60.97,-988.47
36.5,-61.8,-988.34
37.52,-62.38,-988.12
38.59,-62.65,-987.82
39.58,-62.88,-987.37
40.44,-62.8,-986.91
41.16,-62.81,-986.39
41.66,-63.04,-985.84
42.06,-63.6,-985.29
42.45,-64.4,-984.73
42.96,-65.34,-984.18
43.66,-66.23,-983.62
44.48,-66.91,-983.1
45.34,-67.31,-982.62
46.01,-68.03,-982.08
46.62,-68.13,-981.67
47.03,-68.33,-981.27
47.2,-68.79,-980.89
47.22,-69.56,-980.54
47.11,-70.65,-980.19
47.0,-71.98,-979.86
46.95,-73.41,-979.52
46.99,-74.8,-979.18
47.2,-76.04,-978.83
47.22,-77.9,-978.35
47.49,-78.7,-977.96
47.74,-79.38,-977.53
47.91,-79.98,-977.03
48.05,-80.57,-976.47
48.1,-81.19,-975.86
48.06,-81.92,-975.22
47.89,-82.83,-974.58
47.66,-83.9,-973.92
47.79,-85.1,-973.21
47.13,-87.36,-972.32
47.0,-88.48,-971.66
46.6,-89.48,-971.16
46.72,-90.44,-970.71
46.72,-91.51,-970.21
47.33,-92.13,-969.67
48.0,-92.73,-969.11
48.68,-93.19,-968.53
49.51,-93.45,-967.99
50.28,-93.76,-967.5
