angleX,angleY,angleZ
-35.69,-4.25,-960.07
-33.97,-3.99,-960.3
-31.57,-3.8,-960.14
-29.1,-3.66,-960.04
-27.41,-3.58,-960.22
-25.38,-3.61,-960.4
-23.39,-3.67,-960.48
-20.91,-3.69,-960.44
-18.71,-3.48,-960.48
-16.22,-3.17,-960.5
-13.98,-2.6,-960.45
-11.76,-2.19,-960.4
-9.94,-1.9,-960.39
-8.13,-1.78,-960.4
-6.5,-1.82,-960.43
-4.93,-1.89,-960.44
-3.14,-1.93,-960.4
-1.49,-1.9,-960.34
0.12,-1.79,-960.25
1.57,-1.68,-960.15
2.91,-1.7,-960.05
4.21,-1.91,-959.97
5.39,-2.33,-959.95
6.56,-2.92,-959.97
7.77,-3.57,-960.01
9.04,-4.19,-960.03
10.35,-4.72,-960.03
11.69,-5.16,-960.01
12.96,-5.54,-959.96
14.13,-5.92,-959.89
15.19,-6.5,-959.78
16.23,-7.08,-959.67
17.18,-7.79,-959.56
18.12,-8.61,-959.44
19.06,-9.49,-959.29
20.06,-10.41,-959.11
21.03,-11.35,-958.89
21.97,-12.33,-958.65
22.87,-13.37,-958.41
23.72,-14.42,-958.18
24.5,-15.62,-957.95
25.28,-16.51,-957.74
26.1,-17.31,-957.47
26.91,-18.08,-957.14
27.58,-18.86,-956.78
28.09,-19.74,-956.42
28.45,-20.75,-956.05
28.74,-21.89,-955.65
29.01,-23.11,-955.25
29.24,-24.42,-954.86
29.27,-26.28,-954.49
29.33,-28.04,-954.22
29.52,-29.93,-953.99
29.96,-31.79,-953.81
30.68,-33.41,-953.65
31.55,-34.65,-953.47
32.69,-35.4,-953.19
33.68,-35.71,-952.8
34.46,-35.74,-952.29
34.95,-35.8,-951.67
34.82,-36.61,-950.69
34.72,-37.51,-949.86
34.34,-38.94,-949.0
33.84,-40.84,-948.16
33.3,-43.04,-947.38
32.9,-45.15,-946.66
32.86,-47.13,-946.01
32.82,-47.45,-945.63
33.76,-47.09,-945.39
34.42,-47.32,-944.97
36.51,-45.25,-944.26
38.68,-45.12,-943.47
39.84,-44.75,-942.67
40.17,-44.55,-942.01
40.23,-44.99,-941.47
39.88,-46.12,-940.96
39.66,-47.98,-940.39
39.41,-50.12,-939.8
39.31,-52.15,-939.23
39.46,-54.11,-938.69
39.42,-56.33,-938.13
40.02,-57.89,-937.61
40.72,-59.21,-936.9
42.03,-59.98,-936.07
43.24,-60.7,-935.23
44.4,-61.5,-934.41
45.49,-62.49,-933.64
46.43,-63.6,-932.94
47.26,-64.8,-932.27
47.99,-65.97,-931.63
48.49,-67.5,-930.89
49.03,-68.6,-930.23
49.5,-69.73,-929.56
49.84,-70.95,-928.9
50.16,-72.33,-928.33
50.4,-73.98,-927.85
50.69,-76.17,-927.48
51.15,-79.46,-927.14
51.92,-82.7,-926.76
53.03,-85.04,-926.31
