angleX,angleY,angleZ
134.67,172.9,3677.37
132.12,167.93,3677.5
129.86,163.36,3677.6
127.66,158.94,3677.7
125.45,154.61,3677.77
123.26,150.26,3677.82
121.04,145.85,3677.85
118.77,141.27,3677.85
116.36,136.67,3677.77
114.12,132.13,3677.65
111.95,127.54,3677.51
109.88,123.15,3677.38
107.86,118.82,3677.25
105.81,114.39,3677.1
103.64,110.01,3676.89
101.49,105.64,3676.63
99.23,101.32,3676.29
96.97,97.04,3675.86
94.7,92.8,3675.36
92.79,88.66,3674.81
91.17,84.71,3674.17
89.73,80.96,3673.58
88.48,77.36,3672.96
87.18,73.81,3672.31
85.88,70.15,3671.6
84.51,66.36,3670.87
83.15,62.31,3670.09
81.71,58.14,3669.29
80.66,53.88,3668.48
79.61,49.63,3667.7
78.7,45.47,3666.73
78.04,41.79,3665.84
77.41,38.37,3664.9
76.81,35.19,3663.91
76.07,32.04,3662.87
75.16,28.75,3661.76
74.06,25.18,3660.58
73.07,21.25,3659.38
71.97,16.91,3658.09
71.45,12.34,3656.83
71.49,7.66,3655.39
71.93,3.56,3654.14
72.47,-0.03,3652.94
73.01,-3.15,3651.8
73.46,-5.85,3650.69
73.64,-8.37,3649.58
73.56,-11.01,3648.43
73.41,-13.93,3647.22
73.4,-17.31,3645.92
73.78,-20.91,3644.59
74.71,-24.82,3643.07
75.88,-28.15,3641.78
76.9,-31.0,3640.53
77.94,-33.48,3639.31
78.63,-35.58,3638.11
79.15,-37.71,3636.9
79.41,-40.07,3635.67
79.64,-42.84,3634.43
80.09,-46.09,3633.21
80.87,-49.57,3632.04
82.16,-53.49,3630.62
83.67,-56.66,3629.55
85.16,-59.47,3628.5
86.32,-61.84,3627.43
87.26,-63.89,3626.33
88.1,-66.11,3625.2
88.71,-68.11,3624.05
89.2,-70.39,3622.9
89.7,-72.79,3621.79
90.3,-75.31,3620.79
91.07,-78.24,3619.79
92.02,-80.92,3619.03
93.11,-83.46,3618.35
94.42,-85.77,3617.76
95.92,-87.77,3617.24
97.49,-89.44,3616.76
98.87,-90.87,3616.27
99.98,-91.92,3615.74
100.79,-92.98,3615.14
101.27,-94.09,3614.44
43.43,-119.43,3836.07
45.24,-122.88,3834.31
46.56,-126.36,3832.42
47.6,-129.74,3830.54
48.85,-132.88,3828.8
50.36,-135.45,3827.36
52.33,-137.44,3826.32
54.73,-138.8,3825.56
57.18,-139.36,3825.09
59.68,-140.19,3824.78
62.07,-141.49,3824.46
64.08,-143.29,3824.11
65.95,-145.59,3823.65
67.65,-148.02,3823.08
69.29,-150.38,3822.49
71.01,-152.49,3821.92
72.96,-154.17,3821.47
75.21,-155.36,3821.11
77.36,-156.26,3820.86
79.39,-157.14,3820.67
