angleX,angleY,angleZ
-324.42,73.95,3862.88
-318.26,70.76,3862.71
-312.07,67.78,3862.51
-305.9,65.04,3862.4
-299.71,62.58,3862.33
-293.53,60.31,3862.33
-287.45,58.06,3862.35
-281.58,55.75,3862.37
-275.88,53.34,3862.33
-270.38,50.78,3862.26
-264.96,48.08,3862.21
-259.44,45.44,3862.23
-253.88,42.89,3862.33
-248.26,40.48,3862.51
-242.7,38.17,3862.75
-237.32,35.85,3863.0
-232.14,33.41,3863.24
-227.15,30.95,3863.42
-222.3,28.43,3863.55
-217.53,25.84,3863.62
-212.62,23.11,3863.65
-207.83,20.52,3863.66
-203.02,18.04,3863.64
-198.2,15.59,3863.6
-193.47,13.17,3863.52
-188.88,10.81,3863.39
-184.39,8.41,3863.21
-180.09,6.05,3862.95
-175.94,3.6,3862.63
-171.99,1.1,3862.25
-167.9,-1.76,3861.76
-164.23,-4.19,3861.29
-160.83,-6.78,3860.78
-157.43,-9.16,3860.23
-153.99,-11.38,3859.61
-150.6,-13.51,3858.92
-147.33,-15.55,3858.13
-144.18,-17.75,3857.22
-141.25,-20.15,3856.22
-138.44,-22.78,3855.16
82.33,-170.42,3572.13
83.86,-169.82,3572.62
85.21,-169.34,3573.14
86.51,-168.89,3573.65
87.55,-168.53,3574.23
88.77,-168.1,3574.88
90.07,-167.48,3575.58
91.58,-166.79,3576.31
92.38,-166.09,3577.08
93.4,-165.65,3577.81
93.99,-165.04,3578.69
94.89,-164.41,3579.48
95.54,-163.52,3580.33
96.44,-162.6,3581.19
97.08,-161.61,3582.12
97.83,-160.67,3583.08
98.55,-159.64,3584.08
99.35,-158.59,3585.13
100.22,-157.53,3586.2
101.04,-156.48,3587.27
61.27,-126.79,3610.09
62.54,-128.01,3608.98
63.64,-129.12,3607.86
64.59,-130.24,3606.74
65.52,-131.53,3605.61
66.52,-132.87,3604.51
67.65,-134.16,3603.48
68.96,-135.29,3602.54
70.28,-136.19,3601.67
71.6,-136.91,3600.83
73.08,-137.68,3599.88
74.33,-138.15,3599.02
75.4,-138.52,3598.14
76.16,-139.1,3597.18
76.67,-139.89,3596.15
77.17,-141.31,3595.03
77.73,-142.9,3593.88
78.45,-144.38,3592.78
79.45,-145.6,3591.78
80.7,-146.37,3590.91
82.17,-146.89,3590.08
83.48,-146.98,3589.41
84.59,-147.1,3588.74
85.53,-147.73,3588.03
86.36,-148.81,3587.27
87.16,-150.15,3586.49
88.04,-151.49,3585.72
89.04,-152.65,3584.98
90.15,-153.6,3584.27
91.24,-154.37,3583.57
92.23,-155.37,3582.69
93.16,-156.03,3582.01
94.08,-156.76,3581.38
95.05,-157.43,3580.82
96.07,-158.02,3580.32
97.14,-158.59,3579.86
98.22,-159.19,3579.4
99.21,-159.96,3578.86
100.04,-160.94,3578.22
100.67,-162.08,3577.46
