angleX,angleY,angleZ
-66.37,1049.61,4711.43
-61.87,1024.03,4710.43
-57.56,998.46,4709.15
-53.37,973.06,4707.76
-49.43,948.03,4706.28
-45.53,923.38,4704.73
-41.68,899.27,4703.09
-37.9,875.77,4701.4
-34.17,853.07,4699.68
-30.58,831.13,4698.03
-26.98,809.58,4696.05
-23.51,789.19,4694.63
-20.19,769.47,4693.28
-17.06,750.04,4691.97
-14.11,730.18,4690.69
-11.19,710.33,4689.42
-8.21,690.87,4688.19
-5.12,671.89,4687.02
-1.99,653.43,4685.89
1.06,635.37,4684.78
3.95,617.33,4683.5
6.66,599.89,4682.36
9.32,582.82,4681.28
12.07,566.28,4680.28
14.95,550.41,4679.4
18.0,535.21,4678.65
21.03,520.59,4678.02
23.94,506.34,4677.47
26.64,492.38,4676.99
29.11,478.53,4676.54
31.33,464.52,4676.05
33.51,450.93,4675.64
35.59,437.64,4675.27
37.81,424.74,4674.93
40.1,412.3,4674.61
42.49,400.29,4674.3
44.87,388.53,4673.99
47.1,376.88,4673.63
49.08,365.25,4673.2
50.88,353.64,4672.72
52.48,342.02,4672.09
54.1,330.79,4671.52
55.79,319.96,4670.95
57.41,309.57,4670.42
59.02,299.58,4669.99
60.66,289.93,4669.64
62.3,280.53,4669.39
64.03,271.34,4669.2
65.65,262.3,4669.04
67.24,260.56,4668.9
68.78,251.57,4668.7
70.31,242.72,4668.5
71.84,234.0,4668.27
73.35,225.47,4668.02
74.85,217.14,4667.75
76.35,216.16,4667.48
77.85,215.22,4667.23
79.16,207.12,4666.97
80.31,199.05,4666.72
81.38,191.15,4666.49
82.35,183.4,4666.27
83.44,175.96,4666.13
84.66,168.82,4666.07
85.97,161.95,4666.08
87.27,155.26,4666.13
88.42,148.64,4666.2
89.46,142.13,4666.3
90.49,135.77,4666.44
91.6,129.66,4666.67
92.84,123.88,4667.0
94.28,118.55,4667.55
95.65,113.26,4668.05
96.92,108.11,4668.56
98.0,103.0,4669.06
99.07,97.9,4669.56
100.07,92.89,4670.05
101.05,88.05,4670.57
102.13,83.44,4671.14
103.19,85.78,4671.72
104.07,81.51,4672.37
105.03,77.15,4673.13
105.82,73.14,4673.85
106.75,69.15,4674.64
107.85,65.28,4675.46
108.8,61.63,4676.31
109.8,58.08,4677.17
110.72,54.61,4678.01
111.46,51.05,4678.85
112.08,47.45,4679.66
112.42,43.92,4680.42
112.68,40.9,4681.46
113.32,37.84,4682.39
114.16,34.88,4683.37
114.69,31.97,4684.35
115.13,29.2,4685.3
115.64,26.55,4686.31
116.2,24.03,4687.36
116.78,21.67,4688.43
117.33,19.43,4689.49
117.95,17.28,4690.54
