angleX,angleY,angleZ
-3.46,-66.88,4297.16
-3.66,-67.08,4297.18
-3.72,-67.04,4297.16
-3.8,-67.03,4297.18
-4.12,-66.99,4297.11
-4.4,-66.99,4296.99
-4.86,-67.19,4296.87
-5.37,-67.59,4296.69
-5.9,-68.15,4296.48
-6.38,-68.84,4296.25
-6.73,-69.53,4295.93
-6.8,-70.1,4295.67
-6.73,-70.54,4295.42
-6.5,-70.84,4295.19
-6.16,-71.09,4294.99
-5.84,-71.39,4294.82
-5.55,-71.76,4294.65
-5.28,-72.23,4294.49
-5.01,-72.78,4294.34
-4.78,-73.36,4294.23
-4.43,-73.89,4294.12
-4.08,-74.36,4294.04
-3.69,-74.7,4293.96
-3.35,-75.02,4293.86
-3.08,-75.38,4293.73
-2.89,-75.8,4293.55
-2.74,-76.3,4293.35
-2.64,-76.9,4293.12
-2.54,-77.57,4292.85
-2.42,-78.25,4292.55
-2.13,-78.94,4292.13
-1.77,-79.4,4291.78
-1.35,-79.8,4291.42
-0.91,-80.25,4291.05
-0.47,-80.87,4290.69
-0.1,-81.65,4290.32
0.34,-82.65,4290.0
0.89,-83.84,4289.77
1.75,-85.16,4289.66
2.77,-86.45,4289.68
4.13,-87.91,4289.86
5.02,-88.77,4290.06
5.78,-89.94,4290.23
6.57,-90.88,4290.36
7.02,-92.02,4290.41
7.46,-93.04,4290.39
7.85,-94.06,4290.35
8.2,-95.07,4290.27
8.55,-95.94,4290.16
8.85,-96.8,4290.03
9.14,-97.93,4289.79
9.15,-98.85,4289.54
9.0,-99.91,4289.2
8.71,-101.14,4288.76
8.27,-102.59,4288.21
7.73,-104.23,4287.54
7.22,-106.03,4286.77
7.17,-107.9,4285.95
7.4,-109.81,4285.11
8.17,-111.55,4284.29
9.32,-113.59,4283.34
10.76,-114.96,4282.66
12.25,-116.07,4282.07
13.73,-116.99,4281.55
14.97,-117.64,4281.08
15.87,-118.27,4280.61
16.23,-119.04,4280.09
16.13,-120.15,4279.44
15.7,-121.71,4278.62
15.55,-123.69,4277.6
16.78,-126.23,4276.28
18.38,-128.5,4275.06
20.21,-130.63,4273.84
22.07,-132.44,4272.67
24.08,-133.86,4271.6
26.15,-134.93,4270.61
28.19,-135.78,4269.71
30.18,-136.62,4268.85
31.96,-137.62,4267.96
33.66,-138.99,4266.99
35.28,-140.96,4265.76
36.88,-142.81,4264.61
38.43,-144.61,4263.41
40.03,-146.21,4262.24
41.7,-147.55,4261.13
43.43,-148.55,4260.09
45.15,-149.35,4259.11
46.78,-150.04,4258.16
48.23,-150.81,4257.2
49.58,-152.01,4256.18
50.65,-154.22,4254.78
51.84,-156.12,4253.65
53.07,-158.06,4252.49
54.21,-159.85,4251.31
55.34,-161.54,4250.13
56.46,-163.04,4248.94
57.66,-164.28,4247.83
59.01,-165.25,4246.79
60.51,-165.91,4245.86
62.2,-166.39,4245.02
