angleX,angleY,angleZ
136.57,86.31,3850.34
133.61,83.77,3850.44
131.02,81.19,3850.52
128.57,78.79,3850.67
126.07,76.4,3850.8
123.54,74.15,3850.87
121.12,71.88,3850.91
118.69,69.62,3850.88
116.5,67.33,3850.84
114.23,64.97,3850.75
111.99,62.32,3850.52
109.59,59.7,3850.27
107.15,56.94,3849.94
104.58,54.11,3849.51
102.04,51.23,3848.99
99.55,48.38,3848.4
97.21,45.6,3847.74
95.03,42.92,3847.02
93.09,40.3,3846.23
91.35,37.67,3845.37
89.89,34.42,3844.15
88.26,31.42,3843.1
86.56,28.1,3841.94
84.69,24.47,3840.64
82.6,20.45,3839.17
80.66,15.86,3837.61
79.01,10.76,3836.04
78.03,5.81,3834.44
77.29,0.81,3832.93
77.7,-3.85,3831.55
78.65,-8.61,3830.05
79.46,-12.45,3829.02
79.85,-15.88,3828.07
80.01,-19.3,3827.15
79.65,-22.92,3826.17
79.05,-27.01,3825.08
78.66,-31.63,3823.87
79.01,-36.44,3822.55
79.93,-41.22,3821.13
81.03,-45.76,3819.64
82.09,-50.19,3817.91
83.06,-53.97,3816.38
83.9,-57.56,3814.85
84.56,-61.05,3813.33
85.08,-64.54,3811.8
85.43,-68.0,3810.27
85.75,-71.52,3808.76
86.22,-75.15,3807.27
86.9,-78.65,3805.82
87.65,-81.92,3804.46
88.52,-85.19,3803.02
89.33,-87.76,3801.88
90.08,-90.22,3800.87
90.84,-92.86,3799.98
91.66,-95.82,3799.16
92.6,-98.99,3798.38
93.61,-102.15,3797.59
94.64,-105.24,3796.79
95.72,-108.14,3795.96
96.88,-110.91,3795.11
68.86,-120.55,3911.8
69.68,-125.1,3909.65
70.42,-129.54,3907.41
71.33,-133.84,3905.15
72.65,-137.65,3902.92
74.26,-140.68,3900.79
76.16,-143.17,3898.77
78.16,-145.52,3896.82
79.96,-141.01,3894.88
81.47,-137.25,3892.85
82.4,-135.16,3889.98
83.04,-132.44,3887.64
83.69,-129.57,3885.31
85.13,-133.38,3883.18
86.56,-135.96,3881.34
88.42,-137.73,3879.69
90.4,-139.52,3878.23
91.78,-141.55,3876.9
93.21,-136.75,3875.48
94.33,-132.41,3874.0
82.31,-55.66,4242.11
83.3,-58.8,4241.39
84.61,-61.6,4240.74
85.76,-64.18,4240.11
86.85,-66.68,4239.47
87.79,-69.06,4238.81
88.46,-71.23,4238.09
88.93,-73.85,4237.41
89.59,-76.33,4236.77
89.06,-78.51,4235.93
88.84,-79.8,4235.99
91.29,-80.63,4236.1
95.25,-80.94,4236.2
95.84,-79.23,4236.27
96.75,-80.8,4236.21
97.52,-83.17,4235.72
97.24,-85.05,4235.22
97.56,-87.52,4234.86
99.06,-89.24,4234.61
100.53,-90.22,4234.49
