angleX,angleY,angleZ
49.81,118.08,4468.98
48.71,114.19,4468.94
47.72,110.37,4468.85
46.75,106.58,4468.78
45.79,102.71,4468.69
44.92,98.88,4468.65
44.0,94.96,4468.63
43.18,91.03,4468.62
42.27,87.14,4468.62
41.34,83.34,4468.58
40.42,79.68,4468.48
39.56,76.1,4468.35
38.69,72.61,4468.16
37.78,69.24,4467.95
36.76,65.85,4467.63
35.93,62.46,4467.23
35.05,59.02,4466.79
34.16,55.41,4466.28
33.41,51.87,4465.75
32.67,48.28,4465.18
32.08,44.65,4464.49
31.62,41.24,4463.87
31.14,37.79,4463.2
30.68,34.33,4462.48
30.14,30.72,4461.7
29.6,26.98,4460.87
29.12,23.06,4460.0
28.87,19.08,4459.13
28.88,15.08,4458.25
29.06,11.23,4457.39
29.2,7.18,4456.22
29.28,3.72,4455.28
29.3,0.34,4454.28
29.28,-3.01,4453.23
29.23,-6.4,4452.12
29.1,-9.99,4450.93
29.19,-13.67,4449.65
29.55,-17.45,4448.28
30.28,-21.23,4446.83
31.4,-25.0,4445.29
32.76,-29.08,4443.45
34.22,-32.84,4441.77
35.71,-36.66,4440.02
37.2,-40.42,4438.2
38.83,-44.35,4436.38
40.51,-48.31,4434.58
42.32,-52.3,4432.82
44.31,-56.29,4431.14
46.44,-60.16,4429.52
48.5,-63.37,4427.99
50.74,-67.06,4426.36
52.87,-70.71,4424.98
54.9,-74.75,4423.63
56.96,-78.96,4422.3
58.92,-83.1,4421.0
60.85,-80.17,4419.68
62.61,-77.41,4418.32
64.25,-74.86,4416.89
65.77,-79.6,4415.4
67.36,-84.19,4413.87
69.07,-88.84,4412.15
70.85,-85.75,4410.69
72.66,-82.65,4409.33
74.37,-79.55,4408.05
76.03,-76.67,4406.88
77.57,-73.77,4405.77
78.98,-70.99,4404.71
80.27,-68.08,4403.71
81.63,-72.26,4402.75
83.01,-76.14,4401.82
84.41,-79.81,4400.78
85.86,-83.01,4399.88
87.24,-78.88,4399.0
88.52,-74.84,4398.11
89.63,-71.04,4397.2
90.64,-67.43,4396.26
91.62,-63.95,4395.29
92.6,-60.56,4394.33
93.63,-57.14,4393.37
94.69,-53.7,4392.41
95.79,-50.44,4391.34
96.81,-47.08,4390.41
97.72,-43.89,4389.49
98.49,-40.76,4388.55
99.14,-37.87,4387.6
99.68,-34.91,4386.62
100.09,-32.0,4385.62
100.52,-29.0,4384.63
101.05,-25.92,4383.69
101.76,-22.76,4382.81
102.45,-19.7,4381.82
103.11,-16.74,4380.98
103.71,-14.24,4380.16
104.11,-12.11,4379.34
104.5,-10.11,4378.57
104.98,-7.96,4377.86
105.51,-5.55,4377.23
106.22,-2.98,4376.73
107.1,-0.24,4376.38
108.08,2.66,4376.16
