angleX,angleY,angleZ
7.57,-104.27,4676.14
7.24,-104.3,4676.0
6.86,-104.7,4675.79
6.72,-105.03,4675.54
6.47,-105.2,4675.24
6.39,-105.22,4674.9
6.31,-105.11,4674.54
6.22,-104.95,4674.15
6.28,-104.65,4673.72
6.2,-104.35,4673.27
6.2,-104.23,4672.66
6.2,-104.12,4672.17
6.22,-104.15,4671.69
6.25,-104.35,4671.2
5.91,-104.77,4670.65
5.99,-105.14,4670.1
6.1,-105.49,4669.61
6.42,-105.7,4669.18
6.71,-105.86,4668.81
6.95,-105.95,4668.44
7.15,-105.96,4667.9
7.21,-105.89,4667.3
7.38,-105.97,4666.58
7.55,-106.23,4665.76
7.82,-106.72,4664.88
8.18,-107.37,4663.95
8.72,-108.2,4663.01
9.53,-109.13,4662.1
10.39,-110.26,4661.17
11.18,-111.45,4660.2
11.98,-112.98,4659.01
12.79,-114.23,4657.94
13.67,-115.79,4656.83
15.08,-117.39,4655.7
16.84,-119.0,4654.56
18.94,-120.52,4653.41
21.14,-122.07,4652.22
23.08,-123.4,4650.95
24.87,-124.71,4649.61
26.88,-126.34,4648.17
28.93,-129.12,4646.13
31.11,-131.84,4644.41
33.36,-134.76,4642.59
35.61,-137.63,4640.73
38.09,-140.47,4638.89
40.51,-143.27,4637.05
42.94,-146.24,4635.19
45.1,-142.32,4633.3
47.14,-138.84,4631.34
49.11,-135.52,4629.35
50.92,-132.51,4627.11
52.9,-129.09,4625.2
54.9,-125.79,4623.35
56.96,-122.64,4621.55
58.82,-119.53,4619.86
60.6,-116.3,4618.32
62.56,-112.89,4617.02
65.48,-108.62,4615.93
68.28,-110.69,4615.0
70.82,-106.27,4614.3
73.5,-102.04,4613.5
75.62,-105.0,4612.77
77.47,-108.15,4612.03
78.91,-111.3,4611.13
80.11,-114.53,4610.18
81.22,-117.55,4609.22
82.45,-120.18,4608.3
83.79,-122.44,4607.49
85.34,-124.45,4606.77
86.9,-126.39,4606.04
88.25,-121.84,4604.97
89.33,-117.36,4603.98
90.1,-113.27,4602.83
90.78,-109.36,4601.58
91.52,-105.44,4600.32
92.34,-101.32,4599.1
93.26,-97.02,4598.01
94.33,-92.55,4597.08
95.46,-87.93,4596.32
96.68,-83.25,4595.72
97.99,-78.77,4595.19
99.21,-74.37,4594.79
100.32,-70.13,4594.43
101.3,-66.07,4594.05
102.22,-62.14,4593.66
103.13,-58.18,4593.24
104.02,-61.38,4592.82
104.97,-64.31,4592.43
105.99,-67.02,4592.07
106.97,-69.54,4591.75
107.92,-71.93,4591.44
108.83,-67.06,4591.22
109.7,-62.33,4591.02
110.52,-57.68,4590.83
111.28,-53.12,4590.64
112.05,-48.76,4590.43
112.7,-44.55,4590.2
113.33,-40.49,4589.95
113.87,-36.56,4589.73
114.34,-32.64,4589.55
