angleX,angleY,angleZ
-3.26,-54.73,4561.83
-3.67,-55.66,4561.66
-3.83,-56.33,4561.43
-3.8,-56.9,4561.24
-3.89,-57.37,4561.04
-3.94,-57.81,4560.92
-4.23,-58.48,4560.75
-4.37,-59.2,4560.5
-4.51,-60.08,4560.22
-4.62,-61.02,4559.89
-4.59,-62.2,4559.43
-4.51,-63.11,4559.06
-4.34,-63.92,4558.65
-4.16,-64.59,4558.19
-3.99,-65.34,4557.67
-3.95,-66.24,4557.06
-3.86,-67.36,4556.4
-4.03,-68.75,4555.66
-4.24,-70.26,4554.77
-4.36,-72.03,4553.79
-4.33,-74.11,4552.59
-4.14,-75.94,4551.47
-3.77,-77.72,4550.3
-3.41,-79.49,4549.04
-3.06,-81.34,4547.69
-2.68,-83.55,4546.26
-2.18,-86.29,4544.74
-0.97,-89.54,4543.13
1.15,-92.89,4541.5
3.7,-96.09,4539.84
6.45,-99.2,4537.92
9.01,-101.65,4536.21
11.32,-103.84,4534.46
13.22,-105.71,4532.68
15.01,-107.53,4530.86
16.86,-109.23,4529.02
19.0,-111.77,4527.16
21.06,-113.73,4525.31
23.04,-115.52,4523.55
25.08,-118.23,4521.84
27.24,-121.16,4519.9
29.3,-123.59,4518.24
31.32,-126.16,4516.62
33.5,-128.66,4515.02
35.41,-131.24,4513.48
37.76,-133.88,4512.01
39.94,-136.19,4510.64
42.26,-138.66,4509.34
44.53,-140.98,4508.06
46.54,-143.32,4506.77
48.23,-146.36,4505.06
49.8,-148.8,4503.75
51.42,-151.17,4502.48
52.99,-153.24,4501.29
54.7,-155.12,4500.19
56.51,-156.72,4499.15
58.28,-158.13,4498.17
59.96,-159.45,4497.18
61.53,-160.8,4496.19
63.03,-162.14,4495.22
64.59,-163.94,4494.02
66.19,-165.21,4493.15
67.85,-166.38,4492.33
69.48,-167.46,4491.54
71.12,-168.56,4490.76
72.77,-169.71,4489.96
74.31,-170.96,4489.12
75.81,-172.31,4488.23
77.27,-173.69,4487.32
78.77,-175.11,4486.37
80.26,-176.62,4485.3
81.72,-177.86,4484.39
83.16,-178.98,4483.53
84.59,-180.02,4482.74
86.04,-180.98,4482.0
87.52,-181.86,4481.28
89.02,-182.69,4480.57
90.45,-176.31,4479.85
91.74,-170.17,4479.09
92.89,-164.25,4478.3
93.87,-158.87,4477.37
94.75,-153.5,4476.57
95.58,-148.18,4475.78
96.41,-142.87,4475.04
97.34,-137.43,4474.33
98.38,-131.92,4473.65
99.47,-126.38,4473.01
100.54,-120.88,4472.4
101.52,-115.57,4471.79
102.34,-110.48,4471.18
102.98,-105.82,4470.47
103.62,-101.14,4469.85
104.25,-96.52,4469.25
104.94,-91.98,4468.67
105.67,-87.42,4468.11
106.43,-82.88,4467.58
107.2,-78.4,4467.1
107.94,-73.99,4466.65
108.66,-69.72,4466.25
109.33,-65.59,4465.92
