angleX,angleY,angleZ
3.79,211.81,4373.63
3.86,206.32,4373.63
3.69,201.08,4373.61
3.36,195.81,4373.59
2.69,190.23,4373.53
1.96,184.55,4373.4
1.12,178.72,4373.26
0.4,172.96,4373.08
0.01,167.6,4372.91
-0.1,162.67,4372.76
0.07,158.58,4372.63
0.33,154.57,4372.57
0.68,150.58,4372.56
0.91,146.57,4372.55
1.2,142.48,4372.63
1.5,138.29,4372.74
1.96,134.14,4372.89
2.46,129.98,4373.1
3.09,125.93,4373.35
3.8,122.04,4373.63
4.46,118.19,4373.97
4.88,114.19,4374.21
5.17,110.09,4374.37
5.37,105.96,4374.46
5.54,101.77,4374.49
5.86,97.72,4374.5
6.29,93.84,4374.52
6.77,90.13,4374.53
7.26,86.55,4374.53
7.63,83.0,4374.5
8.17,79.24,4374.37
8.2,75.38,4374.19
8.01,71.41,4373.96
7.85,67.18,4373.7
7.76,62.92,4373.45
7.8,58.78,4373.22
8.1,54.74,4373.01
8.22,50.87,4372.83
8.54,47.18,4372.6
8.63,43.62,4372.32
8.63,39.8,4371.91
8.76,36.16,4371.51
8.49,32.39,4371.04
8.62,28.72,4370.59
8.72,25.03,4370.16
8.93,21.48,4369.72
9.16,18.0,4369.31
9.36,14.51,4368.86
9.53,11.1,4368.37
9.53,7.62,4367.82
9.51,3.83,4367.04
9.37,0.15,4366.24
9.15,-3.63,4365.29
8.9,-7.56,4364.19
8.77,-11.7,4362.99
9.16,-16.16,4361.74
10.3,-20.88,4360.48
11.88,-25.58,4359.26
13.69,-29.98,4358.11
15.83,-33.98,4357.06
18.29,-37.63,4355.97
20.69,-40.63,4355.08
22.79,-43.35,4354.19
24.28,-45.89,4353.23
25.45,-48.89,4352.18
26.65,-52.82,4351.05
28.08,-57.29,4349.92
29.8,-61.84,4348.82
31.74,-65.89,4347.8
34.01,-69.3,4346.92
36.63,-72.25,4346.09
39.23,-74.55,4345.43
41.58,-76.61,4344.79
43.69,-78.65,4344.13
45.44,-80.76,4343.44
47.01,-83.19,4342.73
48.56,-85.92,4342.03
50.21,-88.75,4341.36
52.01,-91.47,4340.73
53.93,-93.99,4340.11
55.9,-96.46,4339.4
57.8,-98.66,4338.73
59.45,-100.88,4337.98
60.89,-103.33,4337.14
62.13,-106.08,4336.19
63.24,-109.05,4335.16
64.28,-112.0,4334.08
65.33,-114.74,4332.97
66.31,-117.11,4331.85
67.56,-119.16,4330.82
68.81,-121.11,4329.69
69.91,-122.69,4328.74
70.87,-124.54,4327.79
71.68,-126.41,4326.86
72.47,-128.5,4325.99
73.51,-130.7,4325.21
74.82,-132.64,4324.57
76.39,-134.22,4324.04
78.23,-135.45,4323.59
80.28,-136.52,4323.17
