angleX,angleY,angleZ
-82.68,-6.08,-7383.99
-78.09,-2.63,-7384.19
-73.68,0.4,-7384.44
-69.29,3.28,-7384.72
-65.03,6.09,-7385.05
-61.08,8.72,-7385.41
-57.2,11.18,-7385.78
-53.47,13.56,-7386.11
-50.0,15.65,-7386.48
-46.64,17.6,-7386.81
-43.45,19.17,-7387.18
-40.09,21.04,-7387.46
-36.71,22.9,-7387.73
-33.28,24.83,-7388.04
-29.78,26.9,-7388.38
-26.27,29.16,-7388.79
-22.77,31.47,-7389.31
-19.34,33.81,-7389.97
-16.0,36.07,-7390.82
-12.91,38.14,-7391.88
-10.32,39.82,-7393.36
-7.89,41.39,-7394.85
-5.68,42.79,-7396.49
-3.62,44.08,-7398.25
-1.74,45.25,-7400.12
-0.08,46.29,-7402.06
1.39,47.23,-7404.08
2.71,48.11,-7406.11
3.88,48.94,-7408.12
4.91,49.77,-7410.1
5.39,50.72,-7412.57
5.91,51.67,-7414.57
6.0,51.9,-7416.64
5.3,51.77,-7418.87
4.21,51.28,-7421.27
2.78,50.6,-7423.83
1.31,49.82,-7426.51
0.02,49.16,-7429.28
-0.81,48.63,-7432.09
-1.34,48.21,-7434.92
-2.0,47.96,-7438.16
-1.8,48.11,-7440.95
-1.22,48.53,-7443.69
-0.16,49.15,-7446.32
1.19,50.22,-7448.82
2.66,51.59,-7451.19
4.2,53.16,-7453.42
5.66,55.16,-7455.53
7.18,57.36,-7457.57
8.59,59.87,-7459.54
9.65,63.02,-7462.08
10.93,65.95,-7464.05
12.35,69.11,-7466.04
14.05,72.48,-7468.11
15.99,75.97,-7470.28
17.92,79.49,-7472.53
19.7,82.97,-7474.86
21.17,86.34,-7477.25
22.36,89.62,-7479.63
23.52,92.8,-7481.96
24.58,96.55,-7484.45
25.81,100.01,-7486.5
26.88,103.42,-7488.42
27.77,106.78,-7490.22
28.44,110.04,-7491.88
28.93,113.35,-7493.45
29.35,116.6,-7494.87
29.92,119.84,-7496.17
30.31,122.91,-7497.34
30.63,125.83,-7498.36
30.97,129.02,-7499.34
31.4,131.39,-7500.05
31.83,133.66,-7500.61
32.25,135.83,-7501.0
32.75,138.06,-7501.22
33.42,140.46,-7501.29
34.11,143.2,-7501.22
34.89,146.0,-7501.02
35.58,148.63,-7500.67
36.24,151.01,-7500.19
36.78,153.65,-7499.43
37.48,155.91,-7498.6
38.31,158.38,-7497.59
39.19,161.02,-7496.39
40.02,163.68,-7495.05
40.76,166.31,-7493.56
41.44,168.97,-7491.94
42.16,171.58,-7490.18
42.89,174.14,-7488.3
43.53,176.68,-7486.29
43.91,179.62,-7483.85
44.42,182.01,-7481.65
44.9,184.31,-7479.39
45.28,186.53,-7477.1
45.65,188.69,-7474.77
46.17,190.83,-7472.41
46.63,192.78,-7470.03
47.0,194.59,-7467.63
47.24,196.15,-7465.26
47.2,197.43,-7462.95
