angleX,angleY,angleZ
20.86,38.79,-6987.32
24.22,34.47,-6986.4
27.51,37.09,-6985.62
24.0,39.18,-6985.08
20.01,33.93,-6984.87
15.61,28.46,-6985.05
17.87,22.76,-6985.47
19.66,17.17,-6986.09
21.57,11.79,-6986.84
23.42,6.77,-6987.64
25.09,8.91,-6988.8
26.87,11.25,-6989.8
28.46,13.39,-6990.91
29.8,15.34,-6992.15
31.0,17.2,-6993.49
32.23,19.08,-6994.93
33.55,21.06,-6996.46
34.98,23.12,-6998.09
36.53,25.18,-6999.85
38.1,27.14,-7001.78
39.36,28.73,-7004.27
40.49,30.25,-7006.64
41.34,31.63,-7009.17
42.06,32.98,-7011.8
42.74,34.36,-7014.48
43.44,35.81,-7017.16
44.13,37.27,-7019.81
44.74,38.67,-7022.43
45.29,40.03,-7025.01
45.87,41.08,-7027.58
46.03,41.89,-7030.5
46.24,42.97,-7033.06
46.69,44.39,-7035.61
47.21,46.22,-7038.15
47.89,48.35,-7040.7
48.53,50.35,-7043.22
49.19,52.4,-7045.8
49.58,54.16,-7048.42
49.74,55.63,-7051.08
49.77,56.93,-7053.77
49.26,58.18,-7057.28
49.38,59.74,-7060.0
49.74,61.6,-7062.69
50.44,63.85,-7065.34
51.32,66.4,-7067.99
52.22,69.02,-7070.67
53.05,71.64,-7073.45
53.66,74.13,-7076.35
54.0,76.54,-7079.34
54.18,79.01,-7082.39
54.08,82.6,-7086.26
54.65,86.05,-7089.26
54.88,89.34,-7092.21
54.67,92.47,-7095.14
54.04,95.1,-7098.07
53.08,97.1,-7100.92
52.04,98.75,-7103.66
51.06,100.19,-7106.22
50.24,101.59,-7108.53
49.61,103.11,-7110.59
48.89,105.06,-7112.57
48.42,106.65,-7114.06
47.78,108.1,-7115.33
46.96,109.27,-7116.48
45.88,110.25,-7117.5
44.86,111.24,-7118.41
44.08,112.46,-7119.14
43.93,114.11,-7119.59
44.14,116.47,-7119.78
44.39,118.86,-7119.72
44.15,121.23,-7119.33
44.03,123.03,-7118.78
43.93,124.94,-7117.98
44.1,127.25,-7116.97
44.38,129.78,-7115.73
44.65,132.41,-7114.31
44.75,134.95,-7112.73
44.79,137.41,-7111.01
44.86,139.86,-7109.2
44.96,142.35,-7107.27
44.98,145.48,-7104.93
45.15,148.29,-7102.77
45.27,151.09,-7100.53
45.34,153.81,-7098.24
45.36,156.4,-7095.89
45.42,158.94,-7093.47
45.48,161.39,-7090.95
45.57,163.76,-7088.31
45.63,166.07,-7085.54
45.73,168.26,-7082.67
45.63,170.91,-7079.25
45.75,173.11,-7076.17
45.88,175.2,-7073.04
45.96,177.23,-7069.88
45.98,179.1,-7066.72
45.86,180.76,-7063.6
45.58,182.22,-7060.54
45.22,183.34,-7057.54
44.87,183.95,-7054.58
44.45,184.05,-7051.64
