angleX,angleY,angleZ
-85.13,11.55,-7429.2
-80.37,14.59,-7429.48
-75.82,17.36,-7429.94
-71.29,19.76,-7430.56
-66.99,22.14,-7431.34
-63.26,23.72,-7432.27
-59.66,25.22,-7433.31
-56.49,26.53,-7434.56
-53.35,27.66,-7435.88
-50.38,29.0,-7437.32
-48.19,30.29,-7439.35
-45.3,31.91,-7440.9
-42.49,33.71,-7442.53
-40.08,35.32,-7444.21
-37.63,36.76,-7445.93
-35.2,38.03,-7447.78
-33.08,38.92,-7449.75
-30.98,40.0,-7451.89
-28.84,41.03,-7454.17
-26.66,42.18,-7456.57
-24.56,43.41,-7459.43
-22.2,44.97,-7462.0
-19.84,46.52,-7464.57
-17.6,47.4,-7467.1
-16.1,47.96,-7469.62
-14.39,48.56,-7472.19
-12.69,49.2,-7474.69
-11.08,50.03,-7477.11
-9.36,51.16,-7479.43
-7.47,52.58,-7481.64
-5.68,54.29,-7484.35
-3.84,55.83,-7486.41
-2.12,57.2,-7488.49
-0.68,58.31,-7490.59
0.67,59.34,-7492.74
2.02,60.45,-7494.88
3.56,61.87,-7497.01
5.23,63.54,-7499.13
7.05,65.58,-7501.23
8.95,67.81,-7503.35
10.7,70.27,-7505.85
12.3,72.52,-7508.1
13.61,74.57,-7510.42
14.76,76.46,-7512.75
15.89,78.29,-7515.04
17.05,80.18,-7517.26
18.27,82.2,-7519.37
19.49,84.3,-7521.36
20.68,86.49,-7523.25
21.75,88.74,-7525.06
22.49,91.54,-7527.29
23.32,93.69,-7528.97
23.95,95.68,-7530.63
24.37,97.54,-7532.31
24.61,99.27,-7534.01
24.98,101.07,-7535.76
25.53,102.98,-7537.55
26.25,105.08,-7539.37
27.1,107.34,-7541.19
27.96,109.7,-7542.98
28.46,112.57,-7545.17
29.04,114.68,-7546.81
29.58,116.7,-7548.36
30.12,118.73,-7549.83
30.65,120.88,-7551.21
31.24,123.27,-7552.52
31.89,125.86,-7553.73
32.61,128.6,-7554.85
33.19,131.29,-7555.86
33.48,133.66,-7556.77
33.29,135.96,-7557.67
32.81,137.37,-7558.37
32.06,138.34,-7558.94
31.29,139.17,-7559.34
30.68,140.06,-7559.56
30.4,141.16,-7559.58
30.42,142.44,-7559.38
30.56,143.8,-7558.94
30.73,145.25,-7558.28
30.9,146.71,-7557.42
30.86,148.54,-7556.21
30.95,150.1,-7555.0
31.18,151.87,-7553.64
31.61,153.96,-7552.14
32.07,156.23,-7550.51
32.55,158.55,-7548.76
32.91,160.87,-7546.88
33.28,163.17,-7544.83
33.6,165.53,-7542.6
33.91,167.84,-7540.18
33.72,171.05,-7536.74
33.92,173.2,-7533.87
34.08,175.36,-7530.82
34.27,177.58,-7527.59
34.59,179.83,-7524.19
34.89,182.03,-7520.69
35.16,184.03,-7517.19
35.47,186.14,-7513.69
35.82,188.19,-7510.18
35.89,190.07,-7506.68
