angleX,angleY,angleZ
-102.51,-12.98,-7345.14
-98.49,-10.06,-7347.66
-94.35,-7.05,-7350.58
-90.6,-3.82,-7353.39
-86.64,-0.64,-7356.21
-82.76,2.75,-7358.95
-78.62,6.39,-7361.6
-74.31,10.52,-7364.14
-70.03,14.84,-7366.6
-66.01,18.93,-7368.93
-62.42,23.45,-7371.81
-59.25,27.13,-7373.99
-56.34,30.65,-7376.07
-53.55,34.15,-7378.06
-50.91,37.57,-7379.93
-48.32,40.87,-7381.68
-45.9,43.96,-7383.31
-43.56,46.83,-7384.83
-41.32,49.61,-7386.24
-39.11,52.42,-7387.52
-36.95,55.63,-7388.77
-34.63,58.7,-7389.71
-32.34,61.87,-7390.51
-30.14,65.08,-7391.18
-28.02,68.27,-7391.69
-26.02,71.36,-7392.04
-24.15,74.3,-7392.19
-22.51,76.97,-7392.17
-21.13,79.51,-7392.0
-19.87,82.01,-7391.71
-18.89,85.23,-7391.16
-17.35,88.01,-7390.66
-15.71,90.93,-7390.06
-13.89,94.08,-7389.33
-12.04,97.49,-7388.48
-10.38,100.85,-7387.51
-8.95,104.06,-7386.46
-7.66,107.25,-7385.37
-6.47,110.34,-7384.22
-5.27,113.56,-7382.98
-4.38,117.91,-7381.21
-3.19,121.28,-7379.73
-2.16,124.44,-7378.11
-1.21,127.43,-7376.36
-0.23,130.57,-7374.42
0.85,133.9,-7372.29
1.98,137.16,-7369.98
3.06,140.39,-7367.53
4.08,143.59,-7364.99
5.09,146.82,-7362.39
6.09,150.64,-7359.34
7.4,153.91,-7356.63
8.68,156.97,-7353.86
9.95,159.88,-7351.02
11.18,162.53,-7348.18
12.04,164.65,-7345.34
12.19,166.18,-7342.46
12.09,168.03,-7339.72
12.03,169.5,-7337.17
11.84,170.14,-7334.67
11.76,171.43,-7331.89
12.11,171.51,-7329.48
12.61,171.3,-7327.02
13.16,170.97,-7324.54
13.56,170.42,-7322.02
13.71,169.62,-7319.47
13.59,168.54,-7316.92
13.21,167.08,-7314.36
12.63,165.23,-7311.77
12.05,163.12,-7309.11
11.3,160.92,-7305.94
10.96,158.4,-7303.06
10.68,155.72,-7300.08
10.34,152.99,-7297.07
9.8,150.48,-7294.05
8.85,147.68,-7291.01
7.55,144.58,-7288.04
6.29,141.64,-7285.14
4.75,138.23,-7282.27
3.35,134.55,-7279.4
1.48,130.61,-7275.55
0.92,126.43,-7272.4
0.74,122.52,-7269.07
0.88,118.92,-7265.56
0.84,115.83,-7262.06
0.4,113.15,-7258.56
-0.59,110.67,-7255.06
-1.99,108.18,-7251.56
-3.79,105.44,-7248.06
-5.59,102.61,-7244.55
-7.86,99.99,-7240.55
-9.85,97.55,-7237.05
-12.14,95.44,-7233.55
-14.95,94.02,-7230.05
-17.19,92.07,-7226.54
-19.33,89.91,-7223.04
-21.85,87.56,-7219.54
-24.57,84.97,-7216.04
-27.36,82.19,-7212.61
-30.18,79.28,-7209.31
