angleX,angleY,angleZ
3.77,-162.89,-6794.3
0.4,-157.82,-6794.11
-3.96,-153.01,-6794.3
-1.44,-148.62,-6794.81
-6.83,-151.35,-6795.6
-4.75,-153.73,-6796.62
-2.6,-148.4,-6797.74
-0.28,-142.88,-6798.93
1.9,-137.71,-6800.23
3.0,-133.91,-6801.64
2.8,-132.78,-6803.74
2.73,-131.0,-6805.52
2.88,-128.07,-6807.32
3.25,-124.8,-6809.1
4.28,-127.82,-6810.69
6.07,-122.49,-6812.32
7.91,-116.98,-6814.01
9.91,-111.71,-6815.81
5.12,-107.08,-6817.92
6.03,-103.42,-6820.25
6.19,-100.57,-6823.17
6.63,-97.71,-6825.85
7.58,-94.5,-6828.56
8.61,-90.99,-6831.14
9.96,-86.59,-6833.58
11.67,-82.06,-6835.98
12.68,-78.28,-6838.29
13.66,-74.51,-6840.65
14.43,-71.02,-6843.1
14.99,-67.81,-6845.6
15.44,-64.58,-6848.87
16.42,-61.06,-6851.42
17.61,-57.36,-6853.92
18.93,-53.38,-6856.42
20.29,-49.23,-6858.92
21.67,-45.04,-6861.43
23.01,-40.77,-6863.96
24.4,-36.36,-6866.51
25.88,-31.78,-6869.06
27.28,-27.23,-6871.63
28.38,-22.3,-6874.95
29.37,-17.98,-6877.56
30.12,-13.84,-6880.13
30.72,-9.85,-6882.69
31.13,-6.18,-6885.21
31.39,-2.69,-6887.72
31.49,0.69,-6890.22
31.62,4.15,-6892.71
31.87,7.81,-6895.16
32.28,11.64,-6897.57
32.45,16.04,-6900.27
32.6,20.13,-6902.6
32.42,24.07,-6904.88
31.97,27.87,-6907.1
31.28,31.4,-6909.22
30.65,34.71,-6911.2
30.25,37.81,-6913.01
30.02,40.85,-6914.64
30.07,44.05,-6916.04
30.42,47.72,-6917.17
30.6,52.34,-6918.32
30.82,55.76,-6919.04
30.61,58.97,-6919.59
30.56,62.01,-6919.97
30.54,65.44,-6920.11
30.75,69.18,-6920.01
31.0,72.91,-6919.64
31.16,76.47,-6918.98
31.28,79.83,-6918.05
31.47,83.15,-6916.86
31.76,87.24,-6915.26
32.52,91.01,-6913.69
33.08,94.6,-6911.9
33.59,98.29,-6910.0
33.96,101.71,-6907.99
34.08,105.1,-6905.85
34.25,108.51,-6903.63
34.43,111.9,-6901.31
34.68,115.36,-6898.92
34.95,118.72,-6896.43
35.02,122.43,-6893.47
35.18,125.39,-6890.81
35.26,128.22,-6888.07
35.32,130.96,-6885.24
35.38,133.73,-6882.33
35.51,136.57,-6879.34
35.73,139.6,-6876.29
36.13,142.74,-6873.2
36.7,145.86,-6870.1
37.33,148.92,-6867.03
37.76,152.28,-6863.6
38.29,154.91,-6860.66
38.63,157.13,-6857.79
38.78,158.89,-6855.02
38.78,160.07,-6852.34
38.69,160.56,-6849.75
38.56,160.5,-6847.25
38.38,160.02,-6844.83
38.07,159.17,-6842.48
37.5,157.96,-6840.2
