angleX,angleY,angleZ
-102.96,37.51,-7378.06
-98.47,40.64,-7381.22
-94.14,43.76,-7384.43
-89.52,46.8,-7387.74
-85.74,49.69,-7391.06
-81.73,52.47,-7394.5
-77.96,55.48,-7397.92
-73.83,58.85,-7401.26
-69.52,62.65,-7404.54
-65.57,66.12,-7407.63
-61.72,69.91,-7411.28
-58.59,72.22,-7413.94
-56.12,73.95,-7416.41
-54.11,75.3,-7418.73
-52.3,76.49,-7420.9
-50.45,77.93,-7422.95
-48.31,79.71,-7424.89
-45.86,81.89,-7426.76
-43.18,84.39,-7428.57
-40.54,86.97,-7430.35
-38.3,89.63,-7432.36
-36.39,91.74,-7434.12
-34.8,93.55,-7435.89
-33.35,95.26,-7437.65
-31.75,97.01,-7439.33
-29.99,98.58,-7440.87
-28.11,100.29,-7442.21
-26.22,101.82,-7443.39
-24.55,103.26,-7444.41
-23.03,104.71,-7445.27
20.92,154.28,-7555.72
20.98,154.26,-7557.36
21.01,154.19,-7558.97
21.03,154.14,-7560.56
21.04,154.15,-7562.1
21.05,154.2,-7563.55
21.07,154.26,-7564.96
21.05,154.35,-7566.3
21.19,154.37,-7567.56
21.35,154.47,-7568.7
21.53,154.82,-7569.88
21.95,155.17,-7570.8
22.46,155.69,-7571.65
22.99,156.37,-7572.4
23.61,157.17,-7573.05
24.21,158.04,-7573.59
24.8,158.95,-7573.99
25.35,159.87,-7574.24
25.75,160.66,-7574.33
26.11,161.36,-7574.23
26.23,162.29,-7573.85
26.51,163.01,-7573.27
26.97,164.14,-7572.4
27.6,165.64,-7571.27
28.12,167.34,-7569.91
28.59,169.1,-7568.34
29.08,170.95,-7566.59
29.59,172.99,-7564.65
30.18,175.34,-7562.48
30.73,177.59,-7560.06
30.96,180.66,-7556.5
31.43,182.57,-7553.43
31.7,184.35,-7550.08
31.81,186.06,-7546.57
31.81,187.83,-7543.07
31.81,189.74,-7539.57
31.93,191.78,-7536.07
32.18,193.84,-7532.57
32.4,195.8,-7529.06
32.33,197.6,-7525.56
31.78,199.84,-7521.56
31.37,201.52,-7518.06
30.53,203.05,-7514.56
29.2,204.39,-7511.06
27.55,205.59,-7507.55
25.62,206.77,-7504.05
23.72,207.58,-7500.55
21.58,208.08,-7497.25
19.26,208.28,-7494.25
16.98,208.07,-7491.52
14.56,207.48,-7488.63
12.92,206.0,-7486.22
11.77,204.23,-7483.85
10.72,202.34,-7481.46
9.51,200.32,-7479.06
8.35,198.24,-7476.63
7.14,195.9,-7474.19
5.83,193.17,-7471.69
4.48,190.01,-7469.07
3.15,186.47,-7466.26
1.39,182.7,-7462.39
-0.14,178.77,-7459.35
-0.73,174.98,-7456.12
-1.31,171.43,-7452.69
-1.86,168.07,-7449.18
-2.92,164.93,-7445.68
-4.63,161.62,-7442.18
-6.8,157.96,-7438.68
-9.24,153.66,-7435.22
-12.04,148.34,-7431.82
