angleX,angleY,angleZ
-119.15,5.58,-5064.15
-114.73,8.0,-5067.11
-110.88,9.92,-5070.15
-107.48,11.28,-5073.25
-104.2,12.56,-5076.4
-101.01,14.03,-5079.59
-97.74,15.73,-5082.81
-94.28,17.8,-5086.04
-90.57,20.63,-5089.19
-86.14,24.27,-5092.36
-81.67,28.66,-5096.45
-77.27,32.38,-5099.63
-73.12,35.84,-5102.87
-69.38,39.23,-5106.06
-65.37,42.64,-5109.14
-61.34,46.42,-5112.12
-57.56,50.38,-5114.96
-53.99,54.22,-5117.66
-50.85,57.57,-5120.27
-48.12,60.53,-5122.76
-45.56,63.73,-5125.44
-43.0,66.89,-5127.59
-40.57,70.18,-5129.55
-38.42,73.22,-5131.34
-36.06,76.06,-5132.91
-34.03,78.89,-5134.33
-31.99,81.5,-5135.6
-29.93,84.07,-5136.74
-27.81,86.72,-5137.73
-25.54,89.87,-5138.55
-23.14,93.81,-5139.3
-20.85,97.27,-5139.81
-18.71,100.63,-5140.21
-16.72,103.86,-5140.47
-14.72,107.2,-5140.58
-12.71,110.71,-5140.49
-10.62,114.07,-5140.21
-9.04,117.4,-5139.71
-7.55,120.55,-5139.0
-6.17,123.84,-5138.05
-4.93,127.69,-5136.7
-3.51,131.07,-5135.31
-1.97,134.42,-5133.73
-0.52,137.62,-5131.96
0.83,140.7,-5130.02
2.05,143.62,-5127.9
3.11,146.37,-5125.6
4.09,148.96,-5123.09
4.96,151.34,-5120.36
5.67,153.5,-5117.39
6.25,155.95,-5113.7
6.71,157.73,-5110.23
7.32,159.51,-5106.72
7.44,161.03,-5103.22
7.28,162.49,-5099.72
6.48,163.87,-5096.22
5.32,165.14,-5092.72
3.63,166.42,-5089.21
1.71,167.77,-5085.71
-0.31,169.05,-5082.21
-3.11,170.83,-5077.71
-5.16,171.45,-5074.21
-7.17,171.63,-5070.77
-9.09,171.2,-5067.41
-10.88,170.21,-5064.08
-12.52,168.7,-5060.67
-14.0,166.91,-5057.17
-15.22,164.93,-5053.67
-16.42,162.79,-5050.17
-17.67,160.48,-5046.67
32.62,158.48,-7473.67
31.7,156.17,-7471.31
30.82,153.78,-7468.89
30.0,151.31,-7466.4
29.03,148.77,-7463.86
27.96,146.1,-7461.27
26.74,143.35,-7458.64
25.43,140.44,-7455.98
24.03,137.15,-7453.26
22.79,133.75,-7450.45
21.33,130.37,-7447.1
20.41,126.8,-7444.06
19.33,123.45,-7440.92
18.03,120.14,-7437.68
16.1,116.82,-7434.43
13.8,113.43,-7431.18
11.4,110.03,-7427.89
8.93,106.43,-7424.57
6.26,102.53,-7421.2
3.27,98.18,-7417.82
-1.57,93.43,-7413.44
-6.53,88.61,-7410.04
-11.78,83.84,-7406.61
-17.07,79.23,-7403.13
-21.8,74.98,-7399.63
-26.07,71.33,-7396.12
-29.57,68.48,-7392.62
-32.34,66.6,-7389.12
-34.92,65.08,-7385.62
-37.75,63.44,-7382.24
