angleX,angleY,angleZ
-33.59,40.08,-7264.47
-29.94,42.68,-7264.11
-26.27,44.9,-7263.81
-22.49,47.0,-7263.58
-18.76,49.06,-7263.48
-15.14,50.97,-7263.54
-11.54,52.72,-7263.8
-15.34,54.27,-7264.31
-19.22,55.61,-7265.11
-23.29,56.81,-7266.2
-28.0,57.51,-7268.06
-25.42,58.44,-7269.7
-23.17,59.29,-7271.5
-21.16,60.1,-7273.4
-19.23,60.98,-7275.37
-17.32,61.91,-7277.41
-15.38,62.77,-7279.5
-13.58,63.46,-7281.67
-11.97,63.93,-7283.9
-10.51,64.21,-7286.18
-9.54,64.0,-7289.13
-8.09,64.59,-7291.36
-6.39,65.42,-7293.5
-4.45,66.36,-7295.51
-2.73,67.58,-7297.42
-0.83,68.68,-7299.3
0.98,69.79,-7301.17
2.51,70.65,-7303.07
3.94,71.36,-7305.01
5.38,72.19,-7307.03
6.55,73.06,-7309.48
8.02,74.13,-7311.72
9.49,75.39,-7314.09
10.91,76.72,-7316.54
12.29,78.11,-7319.05
13.58,79.46,-7321.58
14.69,80.62,-7324.11
15.6,81.58,-7326.63
16.46,82.42,-7329.15
17.36,83.38,-7331.64
18.09,84.56,-7334.46
19.11,86.0,-7336.87
20.24,87.7,-7339.23
21.31,89.58,-7341.57
22.21,91.5,-7343.94
22.67,93.29,-7346.38
22.72,94.91,-7348.91
22.36,96.4,-7351.54
21.98,97.92,-7354.19
21.85,99.53,-7356.76
21.96,101.42,-7359.57
22.19,102.97,-7361.93
22.27,104.38,-7364.24
22.14,105.55,-7366.53
22.0,106.61,-7368.77
21.98,107.78,-7370.99
22.06,109.01,-7373.13
22.17,110.35,-7375.19
22.21,111.67,-7377.11
22.22,112.95,-7378.86
21.8,114.27,-7380.67
21.43,115.19,-7382.15
21.1,116.17,-7383.52
21.08,117.54,-7384.72
21.75,119.59,-7385.62
23.1,122.63,-7386.23
24.26,125.89,-7386.61
25.11,128.73,-7386.77
25.88,131.31,-7386.72
26.34,133.66,-7386.41
26.73,137.14,-7385.57
27.33,139.55,-7384.62
27.81,141.84,-7383.42
28.17,144.04,-7382.0
28.32,146.25,-7380.4
28.36,148.5,-7378.7
28.34,150.69,-7376.9
28.34,152.8,-7375.01
28.4,154.81,-7373.03
28.56,156.72,-7370.93
28.7,159.16,-7368.35
29.1,161.23,-7365.99
29.56,163.46,-7363.6
30.12,165.72,-7361.18
30.84,168.07,-7358.75
31.57,170.44,-7356.29
32.28,172.73,-7353.81
32.92,174.77,-7351.29
33.49,176.65,-7348.73
33.94,178.32,-7346.11
34.08,180.93,-7342.68
34.63,182.61,-7339.98
35.19,184.21,-7337.3
35.75,185.56,-7334.62
36.29,186.76,-7331.96
36.81,187.45,-7329.31
37.36,187.71,-7326.65
37.93,187.66,-7323.97
38.46,187.36,-7321.25
38.9,186.85,-7318.51
