angleX,angleY,angleZ
-79.65,-8.74,-6564.79
-74.77,-5.19,-6564.33
-69.93,-2.26,-6563.95
-72.22,0.2,-6563.84
-74.83,2.46,-6564.1
-78.05,4.43,-6564.73
-81.29,-1.07,-6565.59
-84.78,-6.29,-6566.68
-80.86,-4.01,-6567.96
-77.06,-1.56,-6569.38
-73.78,0.54,-6571.41
-70.73,2.47,-6573.12
-68.27,3.8,-6574.95
-66.17,4.8,-6576.89
-64.15,5.85,-6578.91
-62.16,7.05,-6580.96
-59.8,8.62,-6582.95
-57.26,10.79,-6584.95
-54.44,13.23,-6587.04
-51.77,15.44,-6589.21
-49.27,16.92,-6591.89
-47.42,18.52,-6594.43
-45.26,20.07,-6597.09
-43.31,21.78,-6599.85
-41.23,23.63,-6602.61
-38.81,25.98,-6605.41
-36.33,28.5,-6608.29
-34.1,30.92,-6611.28
-32.01,33.23,-6614.42
-29.92,35.54,-6617.72
-28.2,38.13,-6621.6
-26.04,41.0,-6625.06
-24.0,43.92,-6628.53
-22.05,46.78,-6631.99
-20.37,49.35,-6635.42
-18.68,51.95,-6638.83
-16.96,54.57,-6642.19
-15.15,57.47,-6645.51
-13.24,60.65,-6648.8
-11.39,64.13,-6652.05
-9.74,67.89,-6655.75
-8.26,71.34,-6659.01
-7.12,74.64,-6662.25
-6.13,77.81,-6665.44
-5.37,80.94,-6668.58
-4.75,84.03,-6671.63
-4.31,87.11,-6674.61
-3.95,89.97,-6677.5
-3.59,92.54,-6680.25
-3.16,94.73,-6682.84
-2.82,96.91,-6685.53
-2.21,98.61,-6687.6
-1.25,100.43,-6689.29
-0.13,103.18,-6690.72
1.41,105.54,-6691.85
2.41,107.69,-6692.57
3.15,110.02,-6693.03
3.89,112.23,-6693.31
4.44,114.32,-6693.37
4.92,116.53,-6693.25
5.19,119.08,-6692.94
5.49,121.19,-6692.53
5.68,123.24,-6692.07
5.85,125.08,-6691.56
6.0,126.71,-6691.01
6.23,128.1,-6690.41
6.53,129.35,-6689.72
7.0,130.56,-6688.91
7.69,131.9,-6687.96
8.51,133.38,-6686.84
9.21,136.02,-6685.15
10.39,138.22,-6683.71
11.45,140.5,-6682.17
12.53,142.94,-6680.54
13.59,145.48,-6678.8
14.65,148.1,-6676.94
15.63,150.62,-6674.93
16.5,152.85,-6672.78
17.25,154.9,-6670.47
17.99,157.02,-6668.01
18.62,159.89,-6664.96
19.51,162.41,-6662.15
20.34,164.82,-6659.24
21.1,167.08,-6656.22
21.98,169.46,-6653.21
22.6,171.67,-6650.21
23.2,173.94,-6647.26
23.83,176.27,-6644.35
24.52,178.7,-6641.46
25.41,181.33,-6638.58
26.31,184.51,-6635.3
27.38,186.94,-6632.49
28.2,188.61,-6629.76
28.54,188.56,-6627.13
28.59,188.24,-6624.59
28.35,187.35,-6622.19
28.03,185.96,-6619.85
27.58,184.15,-6617.55
27.16,182.12,-6615.21
26.97,180.05,-6612.77
