angleX,angleY,angleZ
-126.69,-6.36,-7323.3
-122.91,-4.13,-7326.22
-118.94,-1.89,-7329.2
-114.72,0.57,-7332.18
-110.41,3.23,-7335.1
-105.8,6.5,-7337.91
-101.2,9.46,-7340.65
-97.1,12.09,-7343.36
-93.49,14.4,-7346.03
-89.65,16.76,-7348.66
-85.88,19.13,-7351.97
-82.17,21.49,-7354.52
-78.52,24.01,-7357.07
-74.88,26.71,-7359.61
-71.35,29.53,-7362.17
-67.98,32.39,-7364.72
-64.85,35.23,-7367.28
-61.89,37.94,-7369.82
-59.2,40.45,-7372.34
-56.68,42.75,-7374.82
-54.3,45.1,-7377.63
-51.92,47.19,-7380.01
-49.44,49.43,-7382.33
-47.12,51.72,-7384.56
-44.78,54.19,-7386.69
-42.55,56.7,-7388.74
-40.59,59.13,-7390.72
-38.82,61.43,-7392.64
-37.19,63.52,-7394.46
-35.54,65.55,-7396.19
-34.13,68.07,-7398.18
-32.14,70.48,-7399.55
-30.1,72.93,-7400.74
-27.89,75.8,-7401.8
-25.71,78.71,-7402.74
-23.67,81.59,-7403.56
-21.68,84.45,-7404.27
-19.85,87.24,-7404.85
-18.03,90.07,-7405.29
-16.29,92.97,-7405.58
-14.77,96.7,-7405.68
-13.12,99.67,-7405.64
-11.72,102.52,-7405.54
-10.49,105.28,-7405.42
-9.32,107.88,-7405.28
-8.17,110.33,-7405.08
-6.97,112.72,-7404.79
-5.76,115.02,-7404.35
-4.55,117.3,-7403.75
-3.42,119.55,-7402.99
-2.5,122.18,-7401.91
-1.24,124.88,-7400.77
0.38,127.99,-7399.47
2.11,131.45,-7397.98
3.82,134.84,-7396.35
5.38,137.92,-7394.58
6.75,140.93,-7392.66
8.08,143.87,-7390.59
9.55,146.84,-7388.38
10.88,149.72,-7386.07
12.09,153.06,-7383.31
13.55,155.9,-7380.84
14.91,158.6,-7378.33
16.19,161.26,-7375.83
17.4,163.89,-7373.36
18.41,166.43,-7370.94
19.11,168.41,-7368.56
20.07,171.12,-7366.26
21.52,173.86,-7364.1
22.6,175.94,-7361.95
23.62,178.72,-7359.48
24.77,180.75,-7357.34
25.67,182.16,-7355.18
26.61,183.82,-7353.01
27.48,185.4,-7350.83
28.38,187.37,-7348.6
29.39,189.72,-7346.34
30.48,192.2,-7344.03
31.52,194.36,-7341.71
32.39,193.32,-7339.42
32.69,192.17,-7336.81
33.0,190.11,-7334.59
32.94,187.89,-7332.38
32.82,185.11,-7330.1
32.86,181.92,-7327.75
32.99,178.97,-7325.27
33.21,176.32,-7322.67
33.25,174.28,-7319.97
33.07,172.4,-7317.19
32.47,170.38,-7314.35
31.28,168.17,-7311.07
30.09,165.24,-7308.18
28.96,161.84,-7305.25
28.13,157.83,-7302.23
27.72,153.51,-7299.12
27.55,149.24,-7295.95
27.38,145.2,-7292.73
27.04,141.4,-7289.5
26.41,137.78,-7286.26
25.34,134.41,-7283.07
