angleX,angleY,angleZ
-50.88,947.25,1110.6
-47.54,926.21,1110.59
-44.35,905.63,1110.62
-41.21,885.47,1110.66
-38.2,865.76,1110.7
-35.3,846.46,1110.76
-32.46,827.53,1110.84
-29.64,808.83,1110.94
-26.88,790.46,1111.07
-24.03,772.38,1111.21
-21.15,754.81,1111.45
-18.25,737.78,1111.68
-15.28,721.27,1111.97
-12.4,705.31,1112.3
-9.63,689.68,1112.61
-6.99,674.08,1112.89
-4.51,658.5,1113.09
-2.17,642.89,1113.22
0.21,627.39,1113.33
2.6,612.42,1113.52
5.12,598.36,1114.0
7.94,584.81,1114.54
10.85,571.95,1115.24
13.93,559.8,1116.01
16.63,548.74,1116.84
18.74,537.91,1117.65
20.5,527.11,1118.44
22.06,516.04,1119.25
23.69,504.61,1120.1
25.5,492.79,1121.01
27.12,480.7,1122.17
29.29,468.45,1123.1
31.41,456.75,1123.93
33.26,445.56,1124.76
35.05,434.68,1125.57
36.82,424.14,1126.38
38.55,414.12,1127.24
40.2,404.65,1128.21
41.77,395.46,1129.26
43.3,386.22,1130.32
44.73,376.93,1131.61
46.3,367.3,1132.44
47.57,357.76,1133.11
48.64,348.12,1133.64
49.8,338.29,1134.08
51.08,328.41,1134.46
52.52,318.66,1134.81
54.18,309.13,1135.19
56.18,299.9,1135.57
58.32,291.04,1135.94
60.6,282.6,1136.34
62.66,274.32,1136.58
64.48,266.13,1136.71
66.07,257.92,1136.73
67.51,249.49,1136.65
68.82,240.85,1136.5
70.07,232.21,1136.29
71.46,223.67,1136.04
72.98,215.4,1135.79
74.69,207.46,1135.54
76.97,199.94,1135.31
78.95,192.68,1135.21
80.95,185.4,1135.15
82.93,178.29,1135.1
84.74,171.24,1135.05
86.56,164.51,1134.94
87.2,158.2,1134.75
89.07,151.9,1134.48
89.85,146.14,1134.33
91.76,140.31,1134.11
92.99,134.92,1133.85
94.12,129.23,1133.64
95.23,124.08,1133.4
96.12,118.71,1133.2
97.02,113.09,1132.98
97.76,107.75,1132.82
98.52,102.57,1132.75
99.39,97.7,1132.77
100.18,92.94,1132.83
101.07,88.51,1132.91
101.64,84.51,1133.01
102.44,80.46,1133.13
103.25,76.32,1133.3
103.91,72.8,1133.47
104.51,69.34,1133.68
105.25,65.91,1133.93
106.02,62.87,1134.24
106.78,59.51,1134.58
107.4,56.39,1134.93
108.0,52.7,1135.28
108.44,48.77,1135.7
108.93,44.69,1136.02
109.44,40.54,1136.32
109.87,36.49,1136.61
110.35,32.54,1136.92
110.91,28.64,1137.24
111.47,24.97,1137.6
112.1,21.43,1137.96
112.72,18.01,1138.32
113.45,14.6,1138.66
