angleX,angleY,angleZ
92.5,-0.32,-201.04
93.25,-2.88,-200.94
93.76,-4.34,-200.9
94.3,-6.27,-200.81
94.84,-8.17,-200.78
95.3,-9.58,-200.73
95.81,-11.6,-200.71
96.31,-13.42,-200.7
96.9,-15.31,-200.69
97.47,-17.09,-200.68
98.07,-18.73,-200.66
98.65,-20.4,-200.66
99.22,-22.09,-200.65
99.73,-23.73,-200.65
100.24,-25.33,-200.66
100.68,-26.95,-200.68
101.13,-28.48,-200.71
101.53,-29.92,-200.75
101.87,-31.31,-200.81
102.15,-32.62,-200.89
102.29,-33.92,-201.03
102.37,-35.2,-201.18
102.41,-36.49,-201.38
102.38,-37.63,-201.61
102.3,-38.8,-201.88
102.15,-39.81,-202.12
102.14,-40.79,-202.33
102.1,-41.75,-202.48
102.16,-42.73,-202.54
102.37,-43.61,-202.49
102.74,-44.25,-202.22
103.11,-44.75,-201.92
103.45,-45.25,-201.59
103.66,-45.77,-201.26
103.78,-46.48,-201.0
103.78,-47.36,-200.81
103.71,-48.43,-200.71
103.66,-49.71,-200.69
103.6,-50.98,-200.74
103.53,-52.13,-200.85
103.4,-53.14,-201.04
103.2,-53.81,-201.26
102.97,-54.2,-201.49
102.7,-54.52,-201.68
102.61,-54.95,-201.8
102.47,-55.53,-201.82
102.74,-56.68,-201.76
103.06,-57.67,-201.6
103.54,-59.01,-201.4
104.03,-60.3,-201.18
104.53,-61.61,-200.94
105.03,-62.72,-200.79
105.45,-63.68,-200.68
105.72,-64.34,-200.59
105.96,-64.72,-200.51
106.2,-65.3,-200.39
106.5,-65.79,-200.22
106.91,-66.35,-199.97
107.4,-67.04,-199.69
107.87,-67.5,-199.41
108.29,-68.03,-199.11
108.68,-68.65,-198.88
109.07,-69.44,-198.69
109.45,-70.78,-198.54
109.78,-72.27,-198.45
110.12,-74.31,-198.39
110.44,-76.47,-198.39
110.68,-78.69,-198.47
110.9,-80.83,-198.61
111.21,-82.81,-198.78
111.6,-84.49,-198.98
112.09,-86.12,-199.18
112.4,-84.75,-199.44
112.48,-83.24,-199.74
112.36,-82.0,-200.1
112.1,-81.01,-200.47
111.86,-80.15,-200.85
111.64,-79.82,-201.21
111.53,-82.0,-201.52
111.59,-84.26,-201.77
111.79,-86.33,-201.99
112.17,-88.08,-202.11
112.56,-89.55,-202.2
112.87,-90.38,-202.26
113.18,-89.09,-202.28
113.51,-87.16,-202.25
113.85,-85.0,-202.17
114.28,-82.57,-202.03
114.77,-79.87,-201.86
115.25,-77.21,-201.68
115.86,-74.85,-201.44
116.3,-72.8,-201.27
116.66,-71.17,-201.11
117.04,-69.74,-200.92
117.49,-68.58,-200.68
118.05,-68.71,-200.39
118.73,-70.23,-200.06
119.52,-71.69,-199.7
120.35,-73.12,-199.35
121.06,-74.2,-199.04
