angleX,angleY,angleZ
70.62,-96.59,-241.29
71.47,-97.28,-241.39
72.39,-97.07,-241.58
73.22,-97.05,-241.65
74.25,-96.74,-241.74
75.09,-95.8,-241.83
75.77,-95.46,-241.93
76.47,-95.12,-242.09
77.12,-95.21,-242.26
77.82,-95.56,-242.46
78.57,-95.86,-242.74
79.38,-95.93,-242.96
80.13,-95.74,-243.2
80.76,-95.22,-243.45
81.31,-94.6,-243.71
81.7,-94.01,-243.99
82.01,-93.62,-244.29
82.32,-93.44,-244.59
82.72,-93.48,-244.88
83.24,-93.32,-245.13
83.8,-93.0,-245.34
84.42,-92.39,-245.46
85.0,-91.56,-245.53
85.58,-90.79,-245.57
86.05,-90.0,-245.6
86.37,-89.39,-245.65
86.65,-89.03,-245.72
86.9,-88.93,-245.81
87.16,-89.1,-245.94
87.43,-89.29,-246.12
87.72,-89.5,-246.35
87.99,-89.51,-246.56
88.27,-89.45,-246.77
88.62,-89.34,-246.96
89.0,-89.31,-247.1
89.46,-89.22,-247.22
89.93,-89.06,-247.32
90.47,-88.84,-247.42
90.88,-88.32,-247.53
91.25,-87.71,-247.6
91.53,-87.01,-247.66
91.86,-86.33,-247.6
92.17,-85.65,-247.49
92.57,-85.03,-247.26
93.21,-84.64,-246.96
93.89,-84.25,-246.61
94.66,-84.13,-246.27
95.42,-84.11,-245.97
96.17,-84.42,-245.75
96.96,-85.02,-245.61
97.79,-85.52,-245.52
98.55,-85.58,-245.47
99.2,-85.12,-245.43
99.81,-84.44,-245.33
100.46,-83.72,-245.18
101.09,-82.92,-244.94
101.8,-82.5,-244.64
102.51,-82.74,-244.3
103.21,-83.88,-243.96
103.98,-85.34,-243.64
104.87,-86.71,-243.32
105.82,-87.86,-243.04
106.89,-88.68,-242.74
107.97,-89.1,-242.4
108.96,-87.96,-242.03
109.82,-85.7,-241.65
110.58,-83.17,-241.3
111.21,-80.78,-241.02
111.75,-78.63,-240.82
112.17,-76.94,-240.69
112.55,-77.3,-240.58
112.9,-79.16,-240.5
113.27,-80.96,-240.42
113.81,-82.52,-240.29
114.46,-83.77,-240.11
115.16,-84.6,-239.87
115.79,-84.88,-239.57
116.35,-84.15,-239.22
116.98,-82.05,-238.84
117.24,-80.32,-238.47
117.52,-78.75,-238.1
117.78,-77.2,-237.81
117.93,-76.21,-237.61
118.02,-75.6,-237.49
118.05,-75.24,-237.45
118.03,-75.41,-237.47
118.06,-76.44,-237.5
118.2,-78.09,-237.49
118.53,-79.63,-237.4
119.13,-80.88,-237.17
120.0,-81.51,-236.75
120.89,-81.89,-236.28
121.7,-81.33,-235.78
122.43,-80.46,-235.29
123.03,-79.46,-234.84
123.46,-78.63,-234.46
123.8,-78.17,-234.14
124.07,-78.43,-233.91
124.24,-79.18,-233.74
124.47,-80.55,-233.65
